Phase,Conditions,Growth Time,R2s,Rs,Type,Similarity to mgso4_400_7.2,Concentration,Similarity to glucose_4,Batch,Mg Type,Na Type,Correlation to glucose_4,Similarity to glucose_336.2,Correlation to glucose_336.2,Correlation to glucose_24.1
exponential,nacl_200_8,8,0.125911953,-0.354840743,nacl,40300.50639,200,38003.22909,14,baseMg,highNa,0.681840771,31986.57802,0.774651024,0.792594477
exponential,nacl_300_10,10,0.200350431,-0.447605218,nacl,28619.111,300,26841.91415,14,baseMg,highNa,0.841551674,32150.29796,0.772726532,0.7115604
stationary,glucose_29,29,0.109753609,-0.331290822,nacl,43410.88475,5,40671.55352,14,baseMg,baseNa,0.628130985,33106.83662,0.753736516,0.724449312
stationary,nacl_100_29,29,0.067520381,-0.259846842,nacl,46259.27656,100,45319.95763,14,baseMg,highNa,0.441163738,42716.87991,0.50814486,0.453014819
stationary,nacl_200_29,29,0.031332209,-0.177009065,nacl,53338.08439,200,53062.73717,14,baseMg,highNa,0.25555836,51315.37714,0.305458631,0.291991151
stationary,nacl_300_29,29,0.09330642,-0.305460996,nacl,42671.02933,300,41094.11331,14,baseMg,highNa,0.623026049,30929.19261,0.786549334,0.713819209
exponential,glucose_5.5.1,5.5,0.150346282,-0.387745125,nacl,33031.96574,5,27559.76046,15,baseMg,baseNa,0.832932611,31893.40368,0.7763028,0.714667218
exponential,nacl_200_8.1,8,0.213780816,-0.462364376,nacl,24860.99294,200,20840.99957,15,baseMg,highNa,0.904389198,34347.30947,0.740358195,0.644894726
exponential,nacl_300_10.1,10,0.233275865,-0.482986403,nacl,18632.50148,300,16896.30106,15,baseMg,highNa,0.937217233,34039.82969,0.745228995,0.571497857
stationary,glucose_29.1,29,0.080502947,-0.283730412,nacl,46380.6849,5,44386.12474,15,baseMg,baseNa,0.553296388,36308.73474,0.701314657,0.715802106
stationary,nacl_100_29.1,29,0.092285704,-0.303785621,nacl,46467.21227,100,45008.10634,15,baseMg,highNa,0.538549528,37869.98206,0.673577325,0.654471666
stationary,nacl_200_29.1,29,0.026320908,-0.162237198,nacl,50304.53729,200,50077.34022,15,baseMg,highNa,0.253210426,46821.73107,0.358236028,0.370037159
stationary,nacl_300_29.1,29,0.238764818,-0.48863567,nacl,18001.92869,300,16501.37831,15,baseMg,highNa,0.940135439,33349.58356,0.755528373,0.582348814
exponential,lactate_9,9,0.23502351,-0.484792233,lactate,21147.22867,#N/A,14769.68067,16,baseMg,baseNa,0.952040719,34933.01418,0.731761645,0.553582004
stationary,lactate_29,29,0.217929984,-0.466829716,lactate,25180.82035,#N/A,19367.40869,16,baseMg,baseNa,0.917515247,29912.44178,0.803278223,0.671075764
exponential,lactate_8,8,0.244244042,-0.494210524,lactate,20282.54328,#N/A,16670.27137,17,baseMg,baseNa,0.938883145,36883.93175,0.700864351,0.518480096
stationary,lactate_29.1,29,0.12626071,-0.355331831,lactate,42087.66468,#N/A,39529.54434,17,baseMg,baseNa,0.654455211,29710.39739,0.804845842,0.817746812
exponential,lactate_9.1,9,0.239124163,-0.489003234,lactate,20961.4132,#N/A,16333.41165,18,baseMg,baseNa,0.941333852,35621.00747,0.721025676,0.541801057
stationary,lactate_29.2,29,0.103525899,-0.321754408,lactate,45139.62906,#N/A,43252.17582,18,baseMg,baseNa,0.579066738,32708.74542,0.759442308,0.776476252
exponential,gluconate_6,6,0.122978058,-0.350682275,gluconate,40260.23477,#N/A,35338.68438,19,baseMg,baseNa,0.724891906,34187.01302,0.742580018,0.737449656
stationary,gluconate_27,27,0.143752359,-0.379146884,gluconate,37502.86224,#N/A,35631.98324,19,baseMg,baseNa,0.719220934,29876.34712,0.80264657,0.781226227
exponential,gluconate_5,5,0.230528229,-0.480133553,gluconate,21384.72461,#N/A,14748.635,20,baseMg,baseNa,0.952151384,34434.6323,0.739219558,0.578099437
stationary,gluconate_27.1,27,0.089525351,-0.299207872,gluconate,46455.07739,#N/A,44572.00334,20,baseMg,baseNa,0.560637437,32230.26725,0.770317609,0.839411888
exponential,gluconate_6.1,6,0.229791425,-0.479365649,gluconate,21987.77967,#N/A,14870.38004,21,baseMg,baseNa,0.951375575,34827.43437,0.733331695,0.579123581
stationary,gluconate_27.2,27,0.092490819,-0.304123033,gluconate,47254.28713,#N/A,45310.76897,21,baseMg,baseNa,0.536669578,34900.68688,0.725313972,0.790808657
exponential,glucose_3.2,3,0.234867532,-0.484631337,glucose,16196.05784,#N/A,12427.32306,7,baseMg,baseNa,0.966046875,34681.2826,0.735617141,0.570716852
exponential,glucose_4.2,4,0.233588554,-0.483309998,glucose,17063.51894,#N/A,13462.95525,7,baseMg,baseNa,0.960152017,36136.3775,0.712966135,0.531968844
exponential,glucose_5.2,5,0.219482561,-0.468489659,glucose,20280.58546,#N/A,11003.30491,7,baseMg,baseNa,0.973381826,33057.0769,0.759796517,0.607942101
exponential,glucose_6.3,6,0.228483912,-0.477999908,glucose,20003.5896,#N/A,10948.85327,7,baseMg,baseNa,0.973644123,34720.00775,0.735016875,0.575377636
exponential,glucose_8.2,8,0.10774256,-0.328241618,glucose,42788.87404,#N/A,38706.89685,7,baseMg,baseNa,0.669727361,34587.42013,0.736337414,0.788907097
stationary,glucose_24.2,24,0.066174558,-0.257244161,glucose,49700.98784,#N/A,47485.30326,7,baseMg,baseNa,0.491010382,36200.72413,0.704394043,0.794569804
stationary,glucose_48.2,48,0.055711679,-0.236033217,glucose,50212.04629,#N/A,48461.59723,7,baseMg,baseNa,0.452316692,37669.52443,0.669928912,0.682542641
late_stationary,glucose_168.2,168,0.062413118,-0.249826175,glucose,47098.60883,#N/A,45225.07715,7,baseMg,baseNa,0.550267478,25159.29558,0.860841192,0.772801772
late_stationary,glucose_336.2,336,0.134870189,-0.367246768,glucose,36438.79418,#N/A,34032.02183,7,baseMg,baseNa,0.745367127,0,1,0.735914477
exponential,mgso4_0.08_5.5,5.5,0.148077241,-0.384808058,mgso4,33753.18321,0.08,28519.06576,22,highMg,baseNa,0.820803801,33094.61105,0.758736648,0.710676217
exponential,glucose_5.5.2,5.5,0.151454393,-0.389171418,mgso4,33250.15106,0.8,27951.30885,22,highMg,baseNa,0.828097334,31497.5798,0.781751821,0.728106522
exponential,mgso4_8_5.5,5.5,0.160507013,-0.400633265,mgso4,32577.47681,8,28082.3936,22,highMg,baseNa,0.82621267,32612.77592,0.765661191,0.701005517
exponential,mgso4_50_5,5,0.137650683,-0.37101305,mgso4,34795.90584,50,30371.15319,22,highMg,baseNa,0.797110387,32543.45234,0.76709303,0.729244471
exponential,mgso4_200_5,5,0.17759873,-0.421424643,mgso4,28952.20105,200,24648.57874,22,highMg,baseNa,0.866350535,34145.55675,0.743569354,0.690410309
exponential,mgso4_400_7,7,0.227693984,-0.477172908,mgso4,21956.46962,400,20456.98444,22,highMg,baseNa,0.907987871,33329.08964,0.755810547,0.664841326
stationary,mgso4_0.08_28,28,0.119621479,-0.345863381,mgso4,43158.33929,0.08,41038.70707,22,highMg,baseNa,0.618889828,33198.22477,0.750808364,0.784033045
stationary,glucose_28.1,28,0.091018661,-0.301692991,mgso4,44889.94355,0.8,43303.18917,22,highMg,baseNa,0.586662395,30441.51636,0.795773688,0.844124677
stationary,mgso4_8_28,28,0.099205133,-0.314968463,mgso4,46138.53115,8,44181.88325,22,highMg,baseNa,0.554254809,36203.23295,0.701029259,0.765792256
stationary,mgso4_50_28,28,0.075910298,-0.275518236,mgso4,48215.33145,50,46865.44125,22,highMg,baseNa,0.502473974,36862.9931,0.692426393,0.741314499
stationary,mgso4_200_28,28,0.136874636,-0.369965723,mgso4,39338.88572,200,38319.06054,22,highMg,baseNa,0.675347921,30969.04783,0.787993394,0.766997979
stationary,mgso4_400_28,28,0.195390388,-0.442029849,mgso4,29801.07371,400,29747.33766,22,highMg,baseNa,0.805196921,29362.23862,0.810244011,0.710859436
exponential,mgso4_0.08_5.5.1,5.5,0.132535776,-0.364054633,mgso4,36125.03646,0.08,31593.53314,23,highMg,baseNa,0.780080836,31359.97211,0.783361671,0.729218476
exponential,glucose_5.5.3,5.5,0.123830322,-0.351895328,mgso4,35691.42683,0.8,31293.80181,23,highMg,baseNa,0.784376402,30684.27269,0.792733653,0.726230143
exponential,mgso4_8_5.5.1,5.5,0.119586653,-0.345813031,mgso4,35676.50229,8,31431.80334,23,highMg,baseNa,0.782176224,32013.89428,0.774076679,0.714592882
exponential,mgso4_50_5.1,5,0.128079384,-0.357881802,mgso4,34245.29671,50,30307.78747,23,highMg,baseNa,0.797239274,33514.61899,0.752107359,0.682930591
exponential,mgso4_200_5.1,5,0.156381483,-0.395450987,mgso4,31408.74888,200,27399.61914,23,highMg,baseNa,0.834534421,33028.10213,0.759616128,0.685253086
exponential,mgso4_400_7.1,7,0.226081342,-0.475480117,mgso4,22556.82351,400,23695.50748,23,highMg,baseNa,0.876543964,30444.33724,0.796243504,0.683754433
stationary,mgso4_0.08_28.1,28,0.105111683,-0.32420932,mgso4,45546.78306,0.08,44008.74355,23,highMg,baseNa,0.547544145,36849.59186,0.683485551,0.756270487
stationary,glucose_28.2,28,0.079052153,-0.281162148,mgso4,49575.52558,0.8,47840.28041,23,highMg,baseNa,0.476066607,38737.45713,0.656855956,0.782276829
stationary,mgso4_8_28.1,28,0.073716134,-0.271507154,mgso4,48487.93961,8,46978.827,23,highMg,baseNa,0.5030022,36702.82023,0.696824169,0.809938972
stationary,mgso4_50_28.1,28,0.09701236,-0.311468072,mgso4,45508.27613,50,43764.65718,23,highMg,baseNa,0.573669307,32880.49943,0.75943612,0.791427892
stationary,mgso4_200_28.1,28,0.152577903,-0.390612216,mgso4,35654.46975,200,34872.64005,23,highMg,baseNa,0.731290962,31850.98166,0.775885083,0.758569363
stationary,mgso4_400_28.1,28,0.213220192,-0.461757719,mgso4,27205.40478,400,27663.79274,23,highMg,baseNa,0.831648264,29934.76972,0.802910299,0.699515587
exponential,mgso4_0.08_5.5.2,5.5,0.096637975,-0.310866491,mgso4,42534.09345,0.08,42055.25127,24,highMg,baseNa,0.553552643,43972.30966,0.510702694,0.464331961
exponential,glucose_5.5.4,5.5,0.170637908,-0.413083415,mgso4,29755.56881,0.8,26529.81181,24,highMg,baseNa,0.844024686,35678.04287,0.717937907,0.605679847
exponential,mgso4_8_5.5.2,5.5,0.197466556,-0.444372092,mgso4,22868.01778,8,20358.28228,24,highMg,baseNa,0.908710206,33271.01136,0.756222488,0.626631245
exponential,mgso4_50_5.2,5,0.202810332,-0.450344681,mgso4,23044.75475,50,21873.01642,24,highMg,baseNa,0.894803888,32227.00131,0.771681954,0.656845122
exponential,mgso4_200_5.2,5,0.207029175,-0.455004588,mgso4,21927.21611,200,21738.5012,24,highMg,baseNa,0.896078551,32902.61111,0.761973787,0.630606742
exponential,mgso4_400_7.2,7,0.249613783,-0.499613634,mgso4,0,400,17812.09679,24,highMg,baseNa,0.930218333,36438.79418,0.708017134,0.542291574
stationary,mgso4_0.08_28.2,28,0.166438322,-0.407968531,mgso4,31827.30118,0.08,26631.9227,24,highMg,baseNa,0.842106224,32813.80327,0.760302316,0.637974976
stationary,glucose_28.3,28,0.063974782,-0.252932366,mgso4,47247.10251,0.8,44356.89318,24,highMg,baseNa,0.562322714,35613.53166,0.717941549,0.72906629
stationary,mgso4_8_28.2,28,0.015476065,-0.124402833,mgso4,52872.97713,8,51829.99831,24,highMg,baseNa,0.298333689,45864.21074,0.455082341,0.431002233
stationary,mgso4_50_28.2,28,0.081800798,-0.286008387,mgso4,45428.19343,50,43751.91067,24,highMg,baseNa,0.551541522,38535.19522,0.65271517,0.652457826
stationary,mgso4_200_28.2,28,0.161403446,-0.401750478,mgso4,34799.55773,200,33873.72443,24,highMg,baseNa,0.747645892,28344.20574,0.823342918,0.777622526
stationary,mgso4_400_28.2,28,0.212026668,-0.460463536,mgso4,28328.54918,400,29107.12755,24,highMg,baseNa,0.813706579,30245.75498,0.798884394,0.694923595
exponential,mgso4_0.005_5,5,0.144533676,-0.380175849,mgso4,35169.96584,0.005,30685.28725,25,lowMg,baseNa,0.785649626,37300.75324,0.682984983,0.617317806
exponential,mgso4_0.01_5.5,5.5,0.144364186,-0.379952874,mgso4,33519.72818,0.01,28670.44859,25,lowMg,baseNa,0.81807059,33804.0483,0.747127341,0.67122992
exponential,mgso4_0.02_5.5,5.5,0.158084146,-0.39759797,mgso4,32207.7659,0.02,27387.83812,25,lowMg,baseNa,0.834393806,33459.78703,0.7528667,0.680927302
exponential,mgso4_0.04_5.5,5.5,0.159505129,-0.399380932,mgso4,30900.50555,0.04,25414.56586,25,lowMg,baseNa,0.857840259,31664.99258,0.779357995,0.691761663
exponential,mgso4_0.08_5.5.3,5.5,0.178899743,-0.422965416,mgso4,28021.92697,0.08,22931.37299,25,lowMg,baseNa,0.884067575,32112.31383,0.772693726,0.67386286
stationary,mgso4_0.005_26,26,0.106188614,-0.325865945,mgso4,42079.51429,0.005,40933.72638,25,lowMg,baseNa,0.62203791,35110.35597,0.722078288,0.677364544
stationary,mgso4_0.01_26,26,0.074822315,-0.273536679,mgso4,45670.81754,0.01,44869.97964,25,lowMg,baseNa,0.534236311,39253.40909,0.643959593,0.620772032
stationary,mgso4_0.02_26,26,0.099835337,-0.315967303,mgso4,45189.63064,0.02,43882.78345,25,lowMg,baseNa,0.558277668,36710.62298,0.691231208,0.665012941
stationary,mgso4_0.04_26,26,0.032301487,-0.179726144,mgso4,51926.07977,0.04,50420.1129,25,lowMg,baseNa,0.407011946,42151.25996,0.586235855,0.540792466
stationary,mgso4_0.08_26,26,0.034227386,-0.185006448,mgso4,51596.64645,0.08,50203.23028,25,lowMg,baseNa,0.411004926,41594.78988,0.596417413,0.545525186
exponential,mgso4_0.005_5.1,5,0.18991861,-0.435796523,mgso4,26201.64788,0.005,19553.75895,26,lowMg,baseNa,0.915902945,32271.40951,0.770979573,0.654977413
exponential,mgso4_0.01_5.5.1,5.5,0.171044558,-0.413575336,mgso4,31321.40943,0.01,25890.0398,26,lowMg,baseNa,0.852060857,33780.87076,0.748183256,0.668789053
exponential,mgso4_0.02_5.5.1,5.5,0.163477725,-0.404323788,mgso4,29329.69712,0.02,23794.66696,26,lowMg,baseNa,0.875257482,32979.50969,0.760412488,0.670285795
exponential,mgso4_0.04_5.5.1,5.5,0.157403245,-0.396740778,mgso4,31400.27609,0.04,26435.37965,26,lowMg,baseNa,0.846057024,32630.0855,0.765499278,0.693993228
exponential,mgso4_0.08_5.5.4,5.5,0.153138039,-0.391328556,mgso4,32034.57087,0.08,27050.8979,26,lowMg,baseNa,0.838822857,32337.08639,0.769717752,0.697658254
stationary,mgso4_0.005_26.1,26,0.099596851,-0.315589688,mgso4,45110.66526,0.005,43834.41724,26,lowMg,baseNa,0.569607264,36334.23517,0.704404705,0.748779145
stationary,mgso4_0.01_26.1,26,0.100632784,-0.317226707,mgso4,45161.0785,0.01,43665.12528,26,lowMg,baseNa,0.563036298,36111.17981,0.70150972,0.759529527
stationary,mgso4_0.02_26.1,26,0.07612873,-0.275914353,mgso4,48429.78669,0.02,47351.38292,26,lowMg,baseNa,0.494162707,37300.68154,0.6863043,0.766300639
stationary,mgso4_0.04_26.1,26,0.048166865,-0.219469508,mgso4,50161.00936,0.04,48800.25019,26,lowMg,baseNa,0.466612784,36495.82852,0.70181506,0.688852539
stationary,mgso4_0.08_26.1,26,0.055930643,-0.236496602,mgso4,49923.00258,0.08,48574.18373,26,lowMg,baseNa,0.469901162,36452.80863,0.70162182,0.754822842
exponential,mgso4_0.005_5.2,5,0.201137446,-0.448483496,mgso4,25705.18178,0.005,18809.82589,27,lowMg,baseNa,0.922022947,33598.41827,0.751250502,0.626838985
exponential,mgso4_0.01_5.5.2,5.5,0.168918767,-0.410997283,mgso4,30950.80584,0.01,25118.86532,27,lowMg,baseNa,0.860692144,32863.75012,0.761582914,0.653029767
exponential,mgso4_0.02_5.5.2,5.5,0.181009761,-0.425452419,mgso4,27421.85719,0.02,21251.11457,27,lowMg,baseNa,0.900623511,32548.8214,0.766917757,0.648829801
exponential,mgso4_0.04_5.5.2,5.5,0.155022608,-0.393729105,mgso4,32662.89278,0.04,27428.48405,27,lowMg,baseNa,0.834073442,33101.63453,0.758380532,0.676533808
exponential,mgso4_0.08_5.5.5,5.5,0.158128845,-0.397654177,mgso4,31125.78956,0.08,25422.91049,27,lowMg,baseNa,0.857727512,31718.39503,0.778582943,0.681620302
stationary,mgso4_0.005_26.2,26,0.099613269,-0.315615699,mgso4,44932.88741,0.005,42968.30104,27,lowMg,baseNa,0.582355441,36899.33081,0.692178909,0.741575572
stationary,mgso4_0.01_26.2,26,0.117013137,-0.342071831,mgso4,44484.39326,0.01,42747.08912,27,lowMg,baseNa,0.588306879,37125.53608,0.68960857,0.716623424
stationary,mgso4_0.02_26.2,26,0.096170461,-0.310113626,mgso4,46102.78629,0.02,44750.2401,27,lowMg,baseNa,0.551962771,36744.25187,0.698044664,0.713608863
stationary,mgso4_0.04_26.2,26,0.046797418,-0.216327108,mgso4,50171.41007,0.04,48543.77908,27,lowMg,baseNa,0.47160848,38112.25265,0.674440821,0.705213256
stationary,mgso4_0.08_26.2,26,0.043628866,-0.20887524,mgso4,49887.54484,0.08,48829.15457,27,lowMg,baseNa,0.407420266,41598.05104,0.57267813,0.607818515
