id	dN	dS	id_symbol
Rv2448c	0.079	1.2487	valS
Rv1278	0.2047	1.5372	Rv1278
Rv2467	0.0926	1.2497	pepN
Rv1173	0.0635	1.1967	fbiC
Rv3596c	0.0189	1.1243	clpC1
Rv0384c	0.0568	1.6557	clpB
Rv1461	0.3115	79.9803	Rv1461
Rv0006	0.0465	2.1194	gyrA
Rv1650	0.1247	1.2954	pheT
Rv3682	0.0589	1.3815	ponA2
Rv1821	0.0673	1.4688	secA2
Rv3909	0.1691	1.165	Rv3909
Rv2583c	0.0322	1.0961	relA
Rv2737c	0.3741	71.9145	recA
Rv2482c	0.1024	1.3627	plsB2
Rv3401	0.048	0.9828	Rv3401
Rv3270	0.0699	1.4746	ctpC
Rv0949	0.0956	1.4306	uvrD1
Rv0092	0.1407	1.3224	ctpA
Rv3610c	0.0468	1.4671	ftsH
Rv1133c	0.0844	1.5196	metE
Rv0862c	0.1356	0.8954	Rv0862c
Rv0803	0.0507	1.3395	purL
Rv0103c	0.1459	1.666	ctpB
Rv2783c	0.043	1.3632	gpsI
Rv1493	0.0579	1.3919	mutB
Rv0410c	0.0873	1.0879	pknG
Rv3870	0.0892	1.259	eccCa1
Rv0066c	0.0839	1.523	icd2
Rv2984	0.0642	0.8947	ppk1
Rv1837c	0.0977	2.0841	glcB
Rv2973c	0.1225	1.2534	recG
Rv1565c	0.1274	1.6508	Rv1565c
Rv0860	0.0572	1.3114	fadB
Rv1355c	0.3268	55.9363	moeY
Rv0684	0.0518	1.7463	fusA1
Rv2948c	0.1465	0.7306	fadD22
Rv3198c	0.0998	1.3668	uvrD2
Rv1449c	0.0554	1.3396	tkt
Rv2721c	0.2626	1.5715	Rv2721c
Rv1633	0.0264	1.627	uvrB
Rv2326c	0.1331	1.2239	Rv2326c
Rv3051c	0.0355	1.2687	nrdE
Rv2614c	0.0806	1.6793	thrS
Rv3014c	0.0848	1.4404	ligA
Rv0111	0.1309	1.538	Rv0111
Rv2438c	0.0913	1.7667	nadE
Rv2163c	0.1069	1.1826	pbpB
Rv0050	0.1004	1.4772	ponA1
Rv1836c	0.2109	1.2916	Rv1836c
Rv0005	0.0743	2.1851	gyrB
Rv3285	0.0544	1.6207	accA3
Rv3876	0.3622	1.4274	espI
Rv3779	0.2182	1.7025	Rv3779
Rv0198c	0.1035	1.3672	zmp1
Rv0102	0.2013	1.5019	Rv0102
Rv1402	0.1092	1.1781	priA
Rv2404c	0.0439	2.0904	lepA
Rv2201	0.0866	1.2228	asnB
Rv0119	0.1838	1.3904	fadD7
Rv2299c	0.103	1.4937	htpG
Rv1420	0.0633	0.9466	uvrC
Rv3318	0.0359	1.5367	sdhA
Rv3710	0.0825	1.3546	leuA
Rv3792	0.124	1.5259	aftA
Rv1819c	0.1564	2.3047	bacA
Rv2343c	0.1151	1.6221	dnaG
Rv2682c	0.0798	1.1339	dxs1
Rv3801c	0.0313	0.9009	fadD32
Rv3808c	0.0788	1.3829	glfT2
Rv1166	0.0997	1.2249	lpqW
Rv1272c	0.1403	0.9589	Rv1272c
Rv0282	0.0967	1.4017	eccA3
Rv1165	0.0857	1.9471	typA
Rv3805c	0.1125	1.2786	aftB
Rv2917	0.1149	1.3673	Rv2917
Rv0014c	0.0692	1.4958	pknB
Rv0350	0.0367	1.6666	dnaK
Rv3436c	0.0535	1.3207	glmS
Rv1354c	0.2703	7.7704	Rv1354c
Rv0724	0.1199	1.201	sppA
Rv2950c	0.1203	0.7946	fadD29
Rv1798	0.0539	1.3103	eccA5
Rv3003c	0.0561	1.6906	ilvB1
Rv1492	0.1438	1.6483	mutA
Rv1281c	0.0926	1.3724	oppD
Rv0244c	0.0536	1.4721	fadE5
Rv2115c	0.0413	0.9515	mpa
Rv0211	0.0739	1.7753	pckA
Rv2864c	0.103	1.2619	Rv2864c
Rv1297	0.0909	1.182	rho
Rv2187	0.1099	1.4034	fadD15
Rv2572c	0.0577	1.1311	aspS
Rv2214c	0.1099	1.4608	ephD
Rv3871	0.1126	1.0729	eccCb1
Rv1459c	0.1239	1.1253	Rv1459c
Rv1280c	0.1015	1.6312	oppA
Rv3635	0.1356	1.3291	Rv3635
Rv1696	0.1481	1.3526	recN
Rv2787	0.142	0.822	Rv2787
Rv1699	0.0555	1.3208	pyrG
Rv1796	0.1526	1.3863	mycP5
Rv3302c	0.0502	1.3105	glpD2
Rv2941	0.1098	0.7422	fadD28
Rv2930	0.1431	0.9902	fadD26
Rv3244c	0.0735	1.3228	lpqB
Rv1273c	0.1204	1.3171	Rv1273c
Rv1820	0.0844	1.3937	ilvG
Rv2483c	0.1322	1.3637	plsC
Rv3409c	0.0573	1.3007	choD
Rv1185c	0.1711	1.0896	fadD21
Rv3721c	0.1146	1.1074	dnaZX
Rv0226c	0.2069	1.3547	Rv0226c
Rv0189c	0.0526	1.303	ilvD
Rv0886	0.1419	1.6329	fprB
Rv3868	0.0548	1.3643	eccA1
Rv3043c	0.0297	1.2003	ctaD
Rv2587c	0.1007	1.1852	secD
Rv0099	0.1687	1.0476	fadD10
Rv3245c	0.0584	1.1348	mtrB
Rv0511	0.0724	1.1942	hemD
Rv0174	0.1573	1.7261	mce1F
Rv0853c	0.1169	1.3894	pdc
Rv0051	0.1245	1.4618	Rv0051
Rv0270	0.0909	1.3752	fadD2
Rv2752c	0.0589	1.3326	Rv2752c
Rv2477c	0.0367	1.336	Rv2477c
Rv2585c	0.1218	1.5966	Rv2585c
Rv1635c	0.1814	1.7372	Rv1635c
Rv0256c	0.2387	0.8349	PPE2
Rv2112c	0.0234	1.2438	dop
Rv0555	0.0841	1.3205	menD
Rv3263	0.1129	1.1151	Rv3263
Rv2215	0.0919	1.2155	dlaT
Rv0946c	0.0766	1.0847	pgi
Rv2411c	0.0687	1.4063	Rv2411c
Rv1292	0.0779	1.2209	argS
Rv1308	0.0531	1.3284	atpA
Rv3645	0.0907	1.0697	Rv3645
Rv2196	0.0389	1.2043	qcrB
Rv3280	0.0554	1.5341	accD5
Rv0876c	0.0953	1.2867	Rv0876c
Rv0423c	0.0483	1.3225	thiC
Rv1013	0.0983	2.9335	pks16
Rv1473	0.0696	1.0933	Rv1473
Rv0861c	0.044	1.0628	ercc3
Rv0440	0.0285	1.1771	groEL2
Rv3417c	0.0898	1.3469	groEL1
Rv1387	0.2023	0.5101	PPE20
Rv0283	0.1831	1.2148	eccB3
Rv1193	0.1067	1.4473	fadD36
Rv2158c	0.1692	1.9238	murE
Rv3308	0.135	0.977	pmmB
Rv0806c	0.1034	1.2535	cpsY
Rv2846c	0.07	1.3098	efpA
Rv0172	0.1339	1.8837	mce1D
Rv3799c	0.0446	1.7495	accD4
Rv3411c	0.0409	1.7161	guaB2
Rv0528	0.1081	1.5678	Rv0528
Rv2996c	0.0578	1.7418	serA1
Rv2672	0.1481	1.4238	Rv2672
Rv2703	0.0964	1.1726	sigA
Rv1223	0.1093	1.2286	htrA
Rv1595	0.1355	1.2218	nadB
Rv0020c	0.1334	1.2126	fhaA
Rv0808	0.0437	1.0077	purF
Rv1257c	0.0761	1.2096	Rv1257c
Rv3211	0.1469	1.1757	rhlE
Rv3031	0.0749	1.3263	Rv3031
Rv2916c	0.0565	1.0205	ffh
Rv3396c	0.076	0.9362	guaA
Rv2154c	0.1401	1.1552	ftsW
Rv0957	0.068	1.3831	purH
Rv2223c	0.1493	1.2309	Rv2223c
Rv2224c	0.0795	1.0911	caeA
Rv1007c	0.0736	1.154	metS
Rv1410c	0.102	1.0947	Rv1410c
Rv0234c	0.0785	1.6202	gabD1
Rv3696c	0.0474	1.2782	glpK
Rv1609	0.0603	1.3194	trpE
Rv2174	0.1291	1.1492	mptA
Rv2329c	0.1765	1.5038	narK1
Rv3509c	0.1119	1.0005	ilvX
Rv2213	0.0903	1.0645	pepB
Rv0171	0.1574	1.4268	mce1C
Rv0018c	0.1557	1.2862	pstP
Rv3484	0.1545	1.4927	cpsA
Rv2733c	0.1005	1.9257	Rv2733c
Rv3877	0.1669	1.4703	eccD1
Rv1182	0.156	1.6834	papA3
Rv2157c	0.1205	1.6299	murF
Rv3009c	0.0644	1.3569	gatB
Rv0001	0.0682	1.5831	dnaA
Rv0147	0.1292	1.5399	Rv0147
Rv1782	0.0982	1.4081	eccB5
Rv3598c	0.0804	0.9551	lysS
Rv0982	0.0878	1.0317	mprB
Rv1002c	0.0998	1.3465	Rv1002c
Rv1795	0.1551	1.6548	eccD5
Rv3220c	0.1095	1.2498	Rv3220c
Rv3490	0.1139	1.3856	otsA
Rv3267	0.1192	1.4725	Rv3267
Rv3248c	0.0393	1.665	sahH
Rv1018c	0.102	1.5029	glmU
Rv3854c	0.1136	1.7881	ethA
Rv2725c	0.0719	1.2703	hflX
Rv3011c	0.0595	1.7906	gatA
Rv2152c	0.1135	1.4069	murC
Rv2484c	0.1531	1.1525	Rv2484c
Rv0016c	0.0893	1.4119	pbpA
Rv2992c	0.104	1.4797	gltS
Rv2127	0.0914	1.3728	ansP1
Rv0647c	0.0788	1.556	Rv0647c
Rv3858c	0.066	1.0091	gltD
Rv2447c	0.1198	1.3551	folC
Rv1310	0.039	1.3511	atpD
Rv2155c	0.1664	1.1453	murD
Rv1844c	0.068	1.2495	gnd1
Rv1630	0.032	1.6662	rpsA
Rv1979c	0.1448	1.3497	Rv1979c
Rv3869	0.1512	1.2859	eccB1
Rv0486	0.0736	1.4759	mshA
Rv3907c	0.0838	1.5327	pcnA
Rv2440c	0.0859	1.2033	obg
Rv1843c	0.0735	1.2898	guaB1
Rv2220	0.0376	1.3497	glnA1
Rv0157	0.0693	1.7652	pntB
Rv1098c	0.0651	1.2964	fum
Rv0096	0.3324	1.1657	PPE1
Rv2888c	0.1436	1.2493	amiC
Rv3433c	0.0952	1.2739	Rv3433c
Rv2988c	0.0548	1.0035	leuC
Rv2247	0.0342	1.0786	accD6
Rv1477	0.1199	1.1319	ripA
Rv3195	0.1255	0.9465	Rv3195
Rv0777	0.0757	1.2771	purB
Rv1617	0.0478	1.2083	pykA
Rv0290	0.1604	1.5176	eccD3
Rv2522c	0.0785	1.6129	Rv2522c
Rv1659	0.0658	1.3351	argH
Rv3719	0.1023	1.0374	Rv3719
Rv1854c	0.05	1.4131	ndh
Rv3580c	0.0725	1.1694	cysS1
Rv0017c	0.1029	1.38	rodA
Rv3139	0.0933	1.377	fadE24
Rv1361c	0.5261	1.6252	PPE19
Rv0462	0.0844	1.8595	lpdC
Rv1235	0.1351	1.5256	lpqY
Rv0509	0.1129	1.1891	hemA
Rv2462c	0.1913	1.5896	tig
Rv3257c	0.0974	0.9085	pmmA
Rv1077	0.0526	1.3592	cbs
Rv0983	0.1083	1.6122	pepD
Rv2357c	0.0497	1.2809	glyS
Rv1713	0.06	1.6543	engA
Rv3882c	0.1673	1.4653	eccE1
Rv2178c	0.0464	1.0757	aroG
Rv0524	0.0822	1.1943	hemL
Rv3790	0.0686	1.3275	dprE1
Rv0069c	0.2179	67.8526	sdaA
Rv0291	0.2102	1.4416	mycP3
Rv3627c	0.1492	1.2705	Rv3627c
Rv1005c	0.1219	1.0692	pabB
Rv3106	0.1017	1.7008	fprA
Rv3883c	0.1302	1.5622	mycP1
Rv0955	0.1619	1.3866	Rv0955
Rv0242c	0.0806	1.3243	fabG4
Rv0169	0.2076	1.6331	mce1A
Rv2097c	0.0273	0.8749	pafA
Rv2559c	0.0877	1.4979	Rv2559c
Rv2677c	0.1481	1.7227	hemY
Rv0180c	0.1369	1.1722	Rv0180c
Rv3593	0.1209	1.2779	lpqF
Rv0483	0.111	1.6227	lprQ
Rv3227	0.1398	1.1856	aroA
Rv3835	0.1642	1.5729	Rv3835
Rv0161	0.1387	1.6132	Rv0161
Rv1079	0.0692	1.2767	metB
Rv2589	0.0785	1.3433	gabT
Rv2962c	0.1341	1.0153	Rv2962c
Rv3441c	0.0654	1.2215	mrsA
Rv2141c	0.0879	1.5748	Rv2141c
Rv3262	0.1112	1.0691	fbiB
Rv3197	0.0803	1.2024	Rv3197
Rv1293	0.0814	1.0298	lysA
Rv1307	0.1492	1.4375	atpH
Rv2222c	0.031	1.0839	glnA2
Rv0902c	0.0381	1.3337	prrB
Rv2508c	0.1577	1.2146	Rv2508c
Rv2586c	0.141	1.3162	secF
Rv0732	0.0437	1.3781	secY
Rv1294	0.0607	1.493	thrA
Rv2318	0.146	1.2939	uspC
Rv0243	0.0686	1.4127	fadA2
Rv2041c	0.1355	1.1964	Rv2041c
Rv2681	0.1321	1.4362	Rv2681
Rv2246	0.0427	1.0616	kasB
Rv1599	0.0855	1.1545	hisD
Rv1880c	0.673	57.2582	cyp140
Rv2782c	0.0888	1.3288	pepR
Rv1568	0.0783	1.5972	bioA
Rv1194c	0.1934	1.7047	Rv1194c
Rv3722c	0.0659	1.2608	Rv3722c
Rv0800	0.1131	1.6459	pepC
Rv1095	0.036	1.4828	phoH2
Rv2673	0.0967	1.3085	aftC
Rv0357c	0.0625	0.9588	purA
Rv0015c	0.1031	1.0757	pknA
Rv0896	0.0468	1.777	gltA2
Rv1159	0.1393	0.993	pimE
Rv2344c	0.0958	0.9864	dgt
Rv1901	0.1391	1.8083	cinA
Rv1381	0.0602	1.1835	pyrC
Rv2685	0.1487	1.5227	arsB1
Rv1023	0.0576	1.7764	eno
Rv3276c	0.123	1.2386	purK
Rv0337c	0.0472	1.1447	aspC
Rv1559	0.061	1.1824	ilvA
Rv2195	0.1076	1.3695	qcrA
Rv2958c	0.1496	1.2148	Rv2958c
Rv0924c	0.1655	1.2199	mntH
Rv2181	0.1214	1.4517	Rv2181
Rv1093	0.0511	1.612	glyA1
Rv1524	0.2663	2.0093	Rv1524
Rv2457c	0.018	2.229	clpX
Rv0994	0.0621	1.1447	moeA1
Rv1415	0.0326	1.4432	ribA2
Rv1689	0.0902	1.3841	tyrS
Rv2580c	0.0771	1.7799	hisS
Rv2921c	0.1027	1.477	ftsY
Rv2939	0.088	0.6215	papA5
Rv0772	0.1167	1.272	purD
Rv0227c	0.1379	1.4858	Rv0227c
Rv3709c	0.0364	1.3562	ask
Rv3720	0.0795	1.1269	Rv3720
Rv3311	0.1327	1.5442	Rv3311
Rv2953	0.079	0.7252	Rv2953
Rv3834c	0.079	1.5623	serS
Rv1391	0.0732	1.2494	dfp
Rv1315	0.0192	1.192	murA
Rv1464	0.0843	1.6318	csd
Rv0545c	0.1433	1.5524	pitA
Rv1277	0.1037	1.6798	Rv1277
Rv2553c	0.1598	1.2416	Rv2553c
Rv2245	0.0363	1.1594	kasA
Rv3775	0.0865	1.564	lipE
Rv1108c	0.1012	1.1701	xseA
Rv2427c	0.1036	1.4506	proA
Rv3032	0.0668	1.339	Rv3032
Rv2242	0.0607	0.9605	Rv2242
Rv2130c	0.0744	1.1565	mshC
Rv1872c	0.0826	1.4103	lldD2
Rv3712	0.0865	1.6258	Rv3712
Rv2870c	0.0877	1.0636	dxr
Rv0204c	0.0871	1.2622	Rv0204c
Rv1437	0.1125	1.3459	pgk
Rv1612	0.0761	1.403	trpB
Rv0490	0.087	1.1004	senX3
Rv2153c	0.136	1.6972	murG
Rv3274c	0.0379	0.9792	fadE25
Rv3042c	0.0777	1.2404	serB2
Rv3423c	0.0828	1.4326	alr
Rv3255c	0.0846	0.9337	manA
Rv0561c	0.1047	1.126	Rv0561c
Rv2518c	0.0965	1.477	ldtB
Rv1631	0.1398	1.8036	coaE
Rv0228	0.1183	1.6642	Rv0228
Rv2294	0.1342	1.2494	Rv2294
Rv3212	0.1194	1.3273	Rv3212
Rv3915	0.0744	1.197	Rv3915
Rv1797	0.2205	1.4501	eccE5
Rv0391	0.0658	1.6446	metZ
Rv1323	0.0732	1.6593	fadA4
Rv3330	0.1218	1.4335	dacB1
Rv1302	0.0542	1.2089	rfe
Rv1213	0.0387	1.4735	glgC
Rv2869c	0.1086	0.9852	rip
Rv1653	0.1021	1.338	argJ
Rv0859	0.0249	1.0892	fadA
Rv1392	0.0403	1.2033	metK
Rv0002	0.1196	1.6981	dnaN
Rv0173	0.1481	2.1194	lprK
Rv2540c	0.0685	1.7017	aroF
Rv3140	0.0514	1.4693	fadE23
Rv3644c	0.091	1.1816	Rv3644c
Rv1655	0.0987	1.55	argD
Rv2176	0.1413	1.2826	pknL
Rv3809c	0.0728	1.1691	glf
Rv3778c	0.1001	1.6038	Rv3778c
Rv1658	0.0469	2.0967	argG
Rv1462	0.1098	1.9299	Rv1462
Rv3671c	0.1129	1.1836	Rv3671c
Rv3604c	0.2551	1.3431	Rv3604c
Rv0685	0.0227	1.0395	tuf
Rv2165c	0.1729	1.1412	Rv2165c
Rv0352	0.0343	1.1211	dnaJ1
Rv3025c	0.0941	1.071	iscS
Rv1697	0.0494	1.4502	Rv1697
Rv1238	0.114	1.2564	sugC
Rv3616c	0.2729	0.8078	espA
Rv3206c	0.0715	1.2222	moeB1
Rv3372	0.1655	1.8163	otsB2
Rv1229c	0.0889	1.0559	mrp
Rv0823c	0.0695	1.6066	Rv0823c
Rv2739c	0.1229	1.2275	Rv2739c
Rv0237	0.1939	1.7421	lpqI
Rv0951	0.0611	1.7086	sucC
Rv2868c	0.0612	1.5654	gcpE
Rv1569	0.1207	1.1613	bioF1
Rv3680	0.0651	1.2265	Rv3680
Rv3236c	0.1156	1.4527	Rv3236c
Rv0003	0.1657	1.9309	recF
Rv2190c	0.1921	2.1297	Rv2190c
Rv2188c	0.1078	1.0947	pimB
Rv0225	0.0844	1.2003	Rv0225
Rv2164c	0.2496	1.8122	Rv2164c
Rv1254	0.1239	1.5212	Rv1254
Rv2259	0.0577	1.3402	mscR
Rv2373c	0.0638	1.1595	dnaJ2
Rv2951c	0.0791	0.7112	Rv2951c
Rv1488	0.0547	1.4539	Rv1488
Rv1600	0.0965	1.4105	hisC1
Rv2230c	0.1139	1.0249	Rv2230c
Rv2211c	0.0853	1.2618	gcvT
Rv2184c	0.1244	0.9422	Rv2184c
Rv3341	0.0756	1.2746	metA
Rv2150c	0.017	2.4335	ftsZ
Rv3105c	0.0489	1.1142	prfB
Rv2610c	0.0977	1.3307	pimA
Rv1479	0.0532	1.1836	moxR1
Rv0501	0.0854	0.9273	galE2
Rv1383	0.0784	1.1527	carA
Rv0884c	0.072	1.3681	serC
Rv2439c	0.0851	1.4716	proB
Rv2535c	0.099	1.0063	pepQ
Rv3410c	0.0572	1.6098	guaB3
Rv0928	0.1424	1.3864	pstS3
Rv3006	0.0577	1.3248	lppZ
Rv1448c	0.1293	1.3363	tal
Rv2981c	0.0952	1.2307	ddlA
Rv0505c	0.0835	1.5085	serB1
Rv2780	0.0749	1.354	ald
Rv1157c	0.1606	1.6438	Rv1157c
Rv1106c	0.1499	1.8188	Rv1106c
Rv2192c	0.1202	1.2412	trpD
Rv0482	0.1163	1.2672	murB
Rv0811c	0.1371	1.2451	Rv0811c
Rv2210c	0.068	0.9499	ilvE
Rv1896c	0.1458	1.0294	Rv1896c
Rv3024c	0.0908	1.3377	trmU
Rv0046c	0.0429	1.6782	ino1
Rv3921c	0.1244	1.7719	Rv3921c
Rv0155	0.0561	1.7158	pntAa
Rv1239c	0.1101	1.8684	corA
Rv3313c	0.0624	1.4387	add
Rv3629c	0.2111	2.2922	Rv3629c
Rv2228c	0.1372	1.5249	Rv2228c
Rv0809	0.0777	1.1855	purM
Rv2200c	0.0785	1.5104	ctaC
Rv1009	0.1112	1.2759	rpfB
Rv0542c	0.1347	1.5287	menE
Rv2538c	0.0697	2.1023	aroB
Rv1178	0.0885	2.0805	Rv1178
Rv1099c	0.0303	1.8528	glpX
Rv2207	0.1105	1.5425	cobT
Rv1607	0.1365	1.5305	chaA
Rv3035	0.1361	1.0606	Rv3035
Rv2038c	0.1223	1.5319	Rv2038c
Rv0407	0.0559	1.3214	fgd1
Rv1295	0.0276	1.7466	thrC
Rv3264c	0.0763	1.1851	manB
Rv1184c	0.2815	1.4568	Rv1184c
Rv0655	0.0377	0.9271	mkl
Rv2156c	0.0462	1.5174	murX
Rv3044	0.1362	1.2338	fecB
Rv0996	0.1975	1.5644	Rv0996
Rv0502	0.0753	1.2611	Rv0502
Rv1299	0.0563	0.945	prfA
Rv1112	0.0749	1.7521	Rv1112
Rv2139	0.1114	1.3069	pyrD
Rv2678c	0.0927	1.2263	hemE
Rv2400c	0.1494	1.0665	subI
Rv0125	0.2004	1.7365	pepA
Rv1202	0.0729	1.4238	dapE
Rv1652	0.1109	1.4384	argC
Rv2368c	0.056	1.3931	phoH1
Rv2609c	0.1187	1.2904	Rv2609c
Rv0170	0.1454	1.9881	mce1B
Rv1594	0.0785	1.3235	nadA
Rv1589	0.0673	1.3615	bioB
Rv0146	0.1301	1.1025	Rv0146
Rv2841c	0.044	1.4486	nusA
Rv3520c	0.0736	1.3752	Rv3520c
Rv3457c	0.0214	0.8997	rpoA
Rv3918c	0.1227	1.9735	parA
Rv1862	0.0895	1.1154	adhA
Rv3045	0.0824	1.4642	adhC
Rv3256c	0.1451	1.2013	Rv3256c
Rv3708c	0.0779	1.5068	asd
Rv1071c	0.1417	1.044	echA9
Rv2592c	0.0218	1.5003	ruvB
Rv0363c	0.0664	2.4618	fba
Rv1485	0.15	1.4647	hemZ
Rv3419c	0.0681	1.4401	gcp
Rv1333	0.1333	1.5492	Rv1333
Rv3917c	0.1462	1.7033	parB
Rv2374c	0.056	0.9413	hrcA
Rv3010c	0.0483	1.465	pfkA
Rv3843c	0.2513	1.6515	Rv3843c
Rv1422	0.0652	0.9097	Rv1422
Rv1649	0.0831	0.9974	pheS
Rv2982c	0.1081	1.1377	gpdA2
Rv0415	0.1083	1.1236	thiO
Rv0885	0.08	1.4075	Rv0885
Rv0129c	0.0937	0.9949	fbpC
Rv3679	0.0949	1.0402	Rv3679
Rv3194c	0.1102	1.3193	Rv3194c
Rv1436	0.0602	1.179	gap
Rv1409	0.1242	1.4953	ribG
Rv3804c	0.0923	1.2243	fbpA
Rv0929	0.103	1.1603	pstC2
Rv0824c	0.1112	2.4132	desA1
Rv0216	0.1669	1.5395	Rv0216
Rv3015c	0.1549	1.148	Rv3015c
Rv3336c	0.0839	1.2881	trpS
Rv2995c	0.0935	1.5573	leuB
Rv3802c	0.1537	1.2489	Rv3802c
Rv3707c	0.0919	1.2582	Rv3707c
Rv1481	0.0461	1.7284	Rv1481
Rv0562	0.1403	1.7867	grcC1
Rv1110	0.1001	2.0196	lytB2
Rv1496	0.1008	1.4659	Rv1496
Rv2977c	0.1241	1.1143	thiL
Rv3001c	0.0748	1.5955	ilvC
Rv0998	0.1827	1.5209	Rv0998
Rv0950c	0.1972	1.4884	Rv0950c
Rv2096c	0.11	1.5206	pafB
Rv0292	0.2893	1.3712	eccE3
Rv3261	0.1266	1.187	fbiA
Rv3464	0.076	2.7438	rmlB
Rv2936	0.0924	0.747	drrA
Rv2786c	0.0674	1.6262	ribF
Rv3228	0.0803	1.0665	Rv3228
Rv0512	0.0742	1.324	hemB
Rv1240	0.0524	1.7022	mdh
Rv3777	0.1379	1.3417	Rv3777
Rv0411c	0.1254	1.6245	glnH
Rv0496	0.0751	0.9854	Rv0496
Rv3670	0.1059	1.0072	ephE
Rv3038c	0.1125	1.7171	Rv3038c
Rv1111c	0.3112	1.8641	Rv1111c
Rv1538c	0.1762	1.3857	ansA
Rv1017c	0.0391	1.0884	prsA
Rv0553	0.128	1.3387	menC
Rv1860	0.2132	1.1019	apa
Rv1283c	0.0977	1.5122	oppB
Rv1300	0.1566	1.1402	hemK
Rv1423	0.0447	1.3738	whiA
Rv2410c	0.0483	0.9597	Rv2410c
Rv1886c	0.098	1.8098	fbpB
Rv1208	0.1225	1.2331	gpgS
Rv3048c	0.0369	1.349	nrdF2
Rv2795c	0.0611	1.2444	Rv2795c
Rv2202c	0.1032	1.1362	adoK
Rv2714	0.0546	0.9523	Rv2714
Rv2707	0.1557	1.3963	Rv2707
Rv0529	0.0949	1.9224	ccsA
Rv2037c	0.1117	1.2392	Rv2037c
Rv2334	0.0763	1.7059	cysK1
Rv3625c	0.147	1.2671	mesJ
Rv2710	0.0183	0.8584	sigB
Rv0176	0.3508	2.783	Rv0176
Rv3579c	0.0987	1.4825	Rv3579c
Rv3838c	0.1003	1.1787	pheA
Rv1905c	0.192	1.3533	aao
Rv3683	0.0816	1.2399	Rv3683
Rv1380	0.0552	1.065	pyrB
Rv1026	0.127	1.2554	Rv1026
Rv3028c	0.054	1.3739	fixB
Rv1708	0.0537	1.2694	Rv1708
Rv1207	0.0726	0.8447	folP2
Rv0805	0.1034	1.005	Rv0805
Rv1201c	0.076	1.4983	dapD
Rv0068	0.1603	2.0022	Rv0068
Rv1480	0.069	1.1502	Rv1480
Rv2985	0.1687	1.2826	mutT1
Rv1010	0.0819	1.1077	ksgA
Rv1296	0.1133	1.2368	thrB
Rv1647	0.1629	1.0853	Rv1647
Rv2611c	0.1741	1.7072	Rv2611c
Rv1845c	0.0743	1.435	blaR
Rv2095c	0.1389	2.0944	pafC
Rv2413c	0.0919	1.0416	Rv2413c
Rv0819	0.1439	1.56	mshD
Rv2569c	0.0802	1.2739	Rv2569c
Rv1698	0.1478	1.3595	mctB
Rv2727c	0.1088	1.4493	miaA
Rv0117	0.104	1.2609	oxyS
Rv2151c	0.1476	1.468	ftsQ
Rv0548c	0.0399	1.3775	menB
Rv3634c	0.0708	1.4557	galE1
Rv1458c	0.0616	1.0601	Rv1458c
Rv1092c	0.0329	0.8435	coaA
