"Name","Chromosome","Region","Expression value","TPM","RPKM","Gene length","Unique gene reads","Total gene reads"
"Rv0057","NC_000962.3","59896..60417","94","3.3716718982","0","522","94","94"
"dnaB","NC_000962.3","60396..63020","721","5.1427322348","0","2625","721","721"
"Rv0059","NC_000962.3","63200..63892","14","0.3782533271","0","693","14","14"
"Rv0060","NC_000962.3","63909..64967","884","15.6294703361","0","1059","884","884"
"Rv0061c","NC_000962.3","complement(65012..65350)","491","27.1187551261","0","339","491","491"
"IGR24_Rodriguez_Rv0061c-Rv0062","NC_000962.3","complement(65412..65517)","63","11.1281415138","0","106","63","63"
"celA1","NC_000962.3","65552..66694","57","0.9337198271","0","1143","57","57"
"IGR25_Rodriguez_Rv0062-Rv0063","NC_000962.3","66778..66855","0","0","0","78","0","0"
"Rv0063","NC_000962.3","66923..68362","888","11.5461828088","0","1440","888","888"
"Rv0063a","NC_000962.3","68418..68579","868","100.3211879683","0","162","868","868"
"Rv0064","NC_000962.3","68620..71559","7932","50.5153458573","0","2940","7932","7932"
"IGR27_Rodriguez_Rv0064-Rv0064A","NC_000962.3","71517..71619","106","19.2688855061","0","103","106","106"
"vapB1","NC_000962.3","71589..71828","290","22.6242771253","0","240","290","290"
"vapC1","NC_000962.3","71821..72222","174","8.1042186718","0","402","174","174"
"icd2","NC_000962.3","complement(72274..74511)","450","3.7647868009","0","2238","450","450"
"Miotto_candidate_10","NC_000962.3","74231..74261","0","0","0","31","0","0"
"IGR28_Rodriguez_Rv0066c-Rv0067c","NC_000962.3","74510..74570","0","0","0","61","0","0"
"Rv0067c","NC_000962.3","complement(74629..75198)","145","4.7630057106","0","570","145","145"
"Rv0068","NC_000962.3","75301..76212","49","1.0059796544","0","912","49","49"
"sdaA","NC_000962.3","complement(76237..77622)","88","1.1887961708","0","1386","88","88"
"glyA2","NC_000962.3","complement(77619..78896)","51","0.7471835088","0","1278","51","51"
"IGR29_Rodriguez_Rv0070c-Rv0071","NC_000962.3","complement(79075..79314)","114","8.8936813527","0","240","114","114"
"Rv0071","NC_000962.3","79486..80193","30","0.7933703258","0","708","30","30"
"Miotto_candidate_11","NC_000962.3","80382..80415","0","0","0","34","0","0"
"IGR30_Rodriguez_Rv0071-Rv0072","NC_000962.3","complement(80503..80610)","0","0","0","108","0","0"
"Rv0072","NC_000962.3","80624..81673","324","5.77754939","0","1050","324","324"
"Rv0073","NC_000962.3","81676..82668","393","7.4102226567","0","993","393","393"
"Miotto_candidate_909","NC_000962.3","complement(81688..81732)","0","0","0","45","0","0"
"Miotto_candidate_910","NC_000962.3","complement(82249..82353)","0","0","0","105","0","0"
"IGR31_Rodriguez_Rv0073-Rv0074","NC_000962.3","82654..82755","9","1.6520770315","0","102","9","9"
"Rv0074","NC_000962.3","82748..83983","297","4.4991029837","0","1236","297","297"
"Rv0075","NC_000962.3","83996..85168","397","6.3369524782","0","1173","397","397"
"Rv0076c","NC_000962.3","complement(85183..85572)","15","0.7201361419","0","390","15","15"
"Miotto_candidate_12","NC_000962.3","85206..85276","0","0","0","71","0","0"
"Rv0077c","NC_000962.3","complement(85636..86466)","94","2.1179455245","0","831","94","94"
"Rv0078","NC_000962.3","86528..87133","27","0.8342171149","0","606","27","27"
"Rv0078A","NC_000962.3","complement(87208..87801)","513","16.1703297322","0","594","513","513"
"Miotto_candidate_13","NC_000962.3","87687..87819","0","0","0","133","0","0"
"Rv0078B","NC_000962.3","complement(87798..88004)","190","17.1858576864","0","207","190","190"
"Miotto_candidate_14","NC_000962.3","87932..88008","0","0","0","77","0","0"
"Miotto_candidate_15","NC_000962.3","88167..88204","0","0","0","38","0","0"
"Rv0079","NC_000962.3","88204..89025","5248","119.5390952467","0","822","5248","5248"
"Rv0080","NC_000962.3","89022..89480","1016","41.4446978758","0","459","1016","1016"
"Miotto_candidate_912","NC_000962.3","complement(89426..89466)","0","0","0","41","0","0"
"Rv0081","NC_000962.3","89575..89919","86","4.6673171401","0","345","86","86"
"Rv0082","NC_000962.3","89924..90403","64","2.4964719587","0","480","64","64"
"Rv0083","NC_000962.3","90400..92322","81","0.7886670384","0","1923","81","81"
"hycD","NC_000962.3","92328..93278","285","5.6111554276","0","951","285","285"
"hycP","NC_000962.3","93289..93951","33","0.9319408895","0","663","33","33"
"hycQ","NC_000962.3","93951..95417","245","3.1269715229","0","1467","245","245"
"hycE","NC_000962.3","95414..96892","48","0.6076605173","0","1479","48","48"
"Rv0088","NC_000962.3","96927..97601","593","16.4489763498","0","675","593","593"
"Miotto_candidate_913","NC_000962.3","complement(97097..97143)","0","0","0","47","0","0"
"Miotto_candidate_914","NC_000962.3","complement(97268..97324)","0","0","0","57","0","0"
"IGR32_Rodriguez_Rv0088-Rv0089","NC_000962.3","97558..97661","32","5.7610891354","0","104","32","32"
"IGR33_Rodriguez_Rv0088-Rv0089","NC_000962.3","97683..97783","94","17.4258686223","0","101","94","94"
"Rv0089","NC_000962.3","97758..98351","223","7.0292076614","0","594","223","223"
"Miotto_candidate_915","NC_000962.3","complement(97771..97818)","0","0","0","48","0","0"
"IGR34_Rodriguez_Rv0089-Rv0090","NC_000962.3","98420..98517","11","2.1016218019","0","98","11","11"
"Rv0090","NC_000962.3","98480..99250","73","1.7727865076","0","771","73","73"
"mtn","NC_000962.3","99684..100451","26","0.6338698333","0","768","26","26"
"Miotto_candidate_916","NC_000962.3","complement(99719..99756)","0","0","0","38","0","0"
"ctpA","NC_000962.3","100583..102868","762","6.2411798966","0","2286","762","762"
"Rv0093c","NC_000962.3","complement(102815..103663)","191","4.2122450893","0","849","191","191"
"Rv0094c","NC_000962.3","complement(103710..104663)","11","0.2158898706","0","954","0","11"
"Rv0095c","NC_000962.3","complement(104805..105215)","14","0.637784807","0","411","14","14"
"PPE1","NC_000962.3","105324..106715","21","0.2824671936","0","1392","21","21"
"Rv0097","NC_000962.3","106734..107603","42","0.9038950195","0","870","42","42"
"fcoT","NC_000962.3","107600..108151","38","1.2889393265","0","552","38","38"
"fadD10","NC_000962.3","108156..109778","153","1.7650656639","0","1623","153","153"
"Rv0100","NC_000962.3","109783..110019","11","0.8690250489","0","237","11","11"
"nrp","NC_000962.3","110001..117539","382","0.9487189497","0","7539","382","382"
"Miotto_candidate_917","NC_000962.3","complement(110154..110205)","0","0","0","52","0","0"
"Miotto_candidate_918","NC_000962.3","complement(110254..110300)","0","0","0","47","0","0"
"Miotto_candidate_919","NC_000962.3","complement(110447..110563)","2","0.3200605075","0","117","2","2"
"Rv0102","NC_000962.3","117714..119699","1479","13.9436632434","0","1986","1479","1479"
"IGR35_Rodriguez_Rv0102-Rv0103c","NC_000962.3","119705..119814","13","2.2127819634","0","110","13","13"
"ctpB","NC_000962.3","complement(119915..122173)","801","6.6390240335","0","2259","801","801"
"Rv0104","NC_000962.3","122317..123831","148","1.8290982667","0","1515","148","148"
"rpmB1","NC_000962.3","complement(123980..124264)","0","0","0","285","0","0"
"Rv0106","NC_000962.3","124374..125570","130","2.0334671342","0","1197","130","130"
"ctpI","NC_000962.3","complement(125643..130541)","1101","4.2079234943","0","4899","1101","1101"
"IGR36_Rodriguez_Rv0107c-Rv0108c","NC_000962.3","complement(130472..130618)","22","2.8021624026","0","147","22","22"
"Rv0108c","NC_000962.3","complement(130895..131104)","423","37.7145585183","0","210","423","423"
"PE_PGRS1","NC_000962.3","131382..132872","111","1.3939053693","0","1491","111","111"
"Rv0110","NC_000962.3","133020..133769","68","1.6976009319","0","750","68","68"
"IGR37_Rodriguez_Rv0110-Rv0111","NC_000962.3","133845..133941","2","0.3860523647","0","97","2","2"
"Rv0111","NC_000962.3","133950..136007","72","0.6550509513","0","2058","72","72"
"gca","NC_000962.3","136289..137245","82","1.6043158355","0","957","82","82"
"IGR38_Rodriguez_Rv0112-Rv0113","NC_000962.3","137254..137306","0","0","0","53","0","0"
"gmhA","NC_000962.3","137319..137909","58","1.8375047411","0","591","58","58"
"Miotto_candidate_920","NC_000962.3","complement(137589..137696)","0","0","0","108","0","0"
"gmhB","NC_000962.3","137941..138513","14","0.4574686835","0","573","14","14"
"hddA","NC_000962.3","138513..139673","71","1.1450226684","0","1161","71","71"
"IGR39_Rodriguez_Rv0115-Rv0116c","NC_000962.3","139668..139755","1","0.2127674965","0","88","1","1"
"IGR40_Rodriguez_Rv0115-Rv0116c","NC_000962.3","complement(139726..139902)","0","0","0","177","0","0"
"IGR41_Rodriguez_Rv0115-Rv0116c","NC_000962.3","139837..139937","21","3.8930132029","0","101","21","21"
"Rv0115a","NC_000962.3","139956..140144","27","2.6747913843","0","189","27","27"
"ldtA","NC_000962.3","complement(140267..141022)","424","10.501032842","0","756","424","424"
"oxyS","NC_000962.3","141200..142144","142","2.8134842709","0","945","142","142"
"oxcA","NC_000962.3","complement(142128..143876)","120","1.284633941","0","1749","120","120"
"fadD7","NC_000962.3","144049..145626","44","0.5220758849","0","1578","44","44"
"fusA2","NC_000962.3","complement(145627..147771)","875","7.6378075658","0","2145","875","875"
"Rv0121c","NC_000962.3","complement(147908..148342)","140","6.0259667968","0","435","140","140"
"Rv0122","NC_000962.3","148491..148859","39","1.9789106989","0","369","39","39"
"Rv0123","NC_000962.3","148856..149224","72","3.653373598","0","369","72","72"
"IGR43_Rodriguez_Rv0123-Rv0124","NC_000962.3","149189..149289","3","0.5561447433","0","101","3","3"
"Miotto_candidate_921","NC_000962.3","complement(149463..149495)","0","0","0","33","0","0"
"PE_PGRS2","NC_000962.3","149533..150996","344","4.399520255","0","1464","344","344"
"Miotto_candidate_16","NC_000962.3","151110..151140","0","0","0","31","0","0"
"pepA","NC_000962.3","151148..152215","1035","18.1450033512","0","1068","1025","1035"
"Miotto_candidate_922","NC_000962.3","complement(151321..151364)","0","0","0","44","0","0"
"Miotto_candidate_923","NC_000962.3","complement(151399..151431)","0","0","0","33","0","0"
"IGR44_Rodriguez_Rv0125-Rv0126","NC_000962.3","152059..152425","208","10.6117064183","0","367","203","208"
"treS","NC_000962.3","152324..154129","572","5.9301576427","0","1806","572","572"
"mak","NC_000962.3","154232..155599","823","11.2642347696","0","1368","823","823"
"Rv0128","NC_000962.3","155667..156446","224","5.3770165263","0","780","224","224"
"Miotto_candidate_924","NC_000962.3","complement(155800..155851)","0","0","0","52","0","0"
"IGR45_Rodriguez_Rv0128-Rv0129c","NC_000962.3","156428..156538","9","1.5181248397","0","111","9","9"
"Miotto_candidate_925","NC_000962.3","complement(156522..156568)","0","0","0","47","0","0"
"fbpC","NC_000962.3","complement(156578..157600)","1446","26.4655311746","0","1023","1446","1446"
"htdZ","NC_000962.3","157847..158302","28","1.1496910336","0","456","28","28"
"fadE1","NC_000962.3","complement(158315..159658)","228","3.1763147688","0","1344","228","228"
"fgd2","NC_000962.3","complement(159700..160782)","202","3.4922945682","0","1083","202","202"
"Rv0133","NC_000962.3","160869..161474","560","17.3022809016","0","606","560","560"
"ephF","NC_000962.3","161771..162673","732","15.1778859945","0","903","732","732"
"Rv0135c","NC_000962.3","complement(162644..163249)","566","17.4876624827","0","606","566","566"
"cyp138","NC_000962.3","163366..164691","927","13.0895334031","0","1326","927","927"
"msrA","NC_000962.3","complement(164712..165260)","589","20.0877320171","0","549","589","589"
"Rv0138","NC_000962.3","165323..165826","61","2.2661427006","0","504","61","61"
"Rv0139","NC_000962.3","165827..166849","238","4.3560141214","0","1023","238","238"
"Rv0140","NC_000962.3","166910..167290","227","11.1554947759","0","381","227","227"
"Rv0141c","NC_000962.3","complement(167271..167681)","239","10.8878977759","0","411","239","239"
"Miotto_candidate_17","NC_000962.3","167440..167481","0","0","0","42","0","0"
"Miotto_candidate_18","NC_000962.3","167558..167658","0","0","0","101","0","0"
"Rv0142","NC_000962.3","167711..168637","519","10.4827584672","0","927","519","519"
"Rv0143c","NC_000962.3","complement(168704..170182)","575","7.2792666137","0","1479","575","575"
"Rv0144","NC_000962.3","170284..171126","2011","44.6655258796","0","843","2011","2011"
"Miotto_candidate_926","NC_000962.3","complement(170705..170736)","0","0","0","32","0","0"
"IGR46_Rodriguez_Rv0144-Rv0145","NC_000962.3","171133..171234","125","22.9455143259","0","102","125","125"
"Rv0145","NC_000962.3","171215..172168","3497","68.6333525112","0","954","3497","3497"
"Rv0146","NC_000962.3","172211..173143","283","5.6792730249","0","933","283","283"
"Rv0147","NC_000962.3","173238..174758","2462","30.3072680583","0","1521","2462","2462"
"Rv0148","NC_000962.3","174833..175693","1922","41.7963336633","0","861","1922","1922"
"Rv0149","NC_000962.3","175700..176668","1359","26.259329658","0","969","1359","1359"
"Rv0150c","NC_000962.3","complement(176665..176952)","0","0","0","288","0","0"
"IGR47_Rodriguez_Rv0150c-Rv0151c","NC_000962.3","177002..177223","20","1.6868053775","0","222","20","20"
"IGR48_Rodriguez_Rv0150c-Rv0151c","NC_000962.3","complement(177348..177445)","2","0.3821130549","0","98","2","2"
"PE1","NC_000962.3","complement(177543..179309)","95","1.0066419188","0","1767","95","95"
"PE2","NC_000962.3","complement(179319..180896)","45","0.5339412459","0","1578","45","45"
"IGR49_Rodriguez_Rv0152c-Rv0153c","NC_000962.3","complement(181064..181241)","49","5.154232836","0","178","49","49"
"ptbB","NC_000962.3","complement(181155..181985)","238","5.3624578173","0","831","238","238"
"fadE2","NC_000962.3","complement(181987..183198)","685","10.5821985871","0","1212","685","685"
"pntAa","NC_000962.3","183622..184722","61","1.0373623261","0","1101","61","61"
"pntAb","NC_000962.3","184723..185055","17","0.9558563806","0","333","17","17"
"pntB","NC_000962.3","185052..186479","365","4.7857787023","0","1428","365","365"
"Miotto_candidate_927","NC_000962.3","complement(185055..185087)","0","0","0","33","0","0"
"Rv0157A","NC_000962.3","complement(186495..186623)","88","12.7726472303","0","129","88","88"
"Rv0158","NC_000962.3","186785..187429","85","2.467443215","0","645","85","85"
"PE3","NC_000962.3","complement(187433..188839)","23","0.3060706559","0","1407","23","23"
"PE4","NC_000962.3","complement(188931..190439)","40","0.4963164928","0","1509","40","40"
"Rv0161","NC_000962.3","190607..191956","107","1.4840138865","0","1350","107","107"
"adhE1","NC_000962.3","complement(191984..193135)","256","4.1607865978","0","1152","256","256"
"Rv0163","NC_000962.3","193117..193572","44","1.8066573385","0","456","44","44"
"TB18.5","NC_000962.3","193626..194111","406","15.6414755434","0","486","406","406"
"mce1R","NC_000962.3","complement(194144..194815)","610","16.9960702543","0","672","610","610"
"fadD5","NC_000962.3","194993..196657","1518","17.07047042","0","1665","1518","1518"
"IGR50_Rodriguez_Rv0166-Rv0167","NC_000962.3","196556..196973","1597","71.5346719733","0","418","1597","1597"
"Miotto_candidate_928","NC_000962.3","complement(196557..196643)","0","0","0","87","0","0"
"Miotto_candidate_929","NC_000962.3","complement(196709..196776)","0","0","0","68","0","0"
"Miotto_candidate_930","NC_000962.3","complement(196827..196944)","0","0","0","118","0","0"
"yrbE1A","NC_000962.3","196861..197658","968","22.712263684","0","798","968","968"
"Miotto_candidate_931","NC_000962.3","complement(196985..197017)","0","0","0","33","0","0"
"yrbE1B","NC_000962.3","197660..198529","391","8.4148322055","0","870","391","391"
"mce1A","NC_000962.3","198534..199898","865","11.8651002431","0","1365","865","865"
"Miotto_candidate_932","NC_000962.3","complement(199402..199508)","0","0","0","107","0","0"
"mce1B","NC_000962.3","199895..200935","609","10.9535405103","0","1041","609","609"
"mce1C","NC_000962.3","200932..202479","4043","48.9013378336","0","1548","4043","4043"
"Miotto_candidate_933","NC_000962.3","complement(200964..201008)","0","0","0","45","0","0"
"mce1D","NC_000962.3","202476..204068","1193","14.0220859072","0","1593","1193","1193"
"Miotto_candidate_934","NC_000962.3","complement(202609..202648)","0","0","0","40","0","0"
"Miotto_candidate_935","NC_000962.3","complement(202732..202825)","0","0","0","94","0","0"
"lprK","NC_000962.3","204065..205237","965","15.4034235301","0","1173","965","965"
"mce1F","NC_000962.3","205231..206778","2927","35.4029720106","0","1548","2927","2927"
"Miotto_candidate_936","NC_000962.3","complement(205275..205351)","0","0","0","77","0","0"
"Miotto_candidate_937","NC_000962.3","complement(206462..206493)","0","0","0","32","0","0"
"Rv0175","NC_000962.3","206814..207455","1733","50.541891406","0","642","1733","1733"
"Rv0176","NC_000962.3","207452..208420","351","6.7822109713","0","969","351","351"
"Rv0177","NC_000962.3","208417..208971","451","15.2149845048","0","555","451","451"
"Miotto_candidate_938","NC_000962.3","complement(208576..208664)","0","0","0","89","0","0"
"Rv0178","NC_000962.3","208938..209672","566","14.4183992714","0","735","566","566"
"lprO","NC_000962.3","complement(209703..210812)","332","5.6001938532","0","1110","332","332"
"Miotto_candidate_20","NC_000962.3","210073..210123","0","0","0","51","0","0"
"Rv0180c","NC_000962.3","complement(210892..212250)","232","3.1963658632","0","1359","232","232"
"Miotto_candidate_21","NC_000962.3","211325..211485","20","2.3259055515","0","161","20","20"
"Rv0181c","NC_000962.3","complement(212277..213011)","167","4.2541920112","0","735","167","167"
"sigG","NC_000962.3","complement(213028..214140)","437","7.3514706599","0","1113","437","437"
"Rv0183","NC_000962.3","214088..214927","208","4.6363050661","0","840","208","208"
"Miotto_candidate_939","NC_000962.3","complement(214453..214483)","0","0","0","31","0","0"
"Rv0184","NC_000962.3","214969..215718","140","3.4950607421","0","750","140","140"
"Rv0185","NC_000962.3","215715..216224","128","4.6992413339","0","510","128","128"
"bglS","NC_000962.3","216269..218344","1074","9.6864555043","0","2076","1074","1074"
"Miotto_candidate_940","NC_000962.3","complement(218035..218065)","0","0","0","31","0","0"
"Miotto_candidate_941","NC_000962.3","complement(218110..218292)","72","7.3666385665","0","183","72","72"
"Miotto_candidate_942","NC_000962.3","complement(218355..218413)","2","0.6346962607","0","59","2","2"
"Miotto_candidate_22","NC_000962.3","218357..218409","0","0","0","53","0","0"
"mymT","NC_000962.3","complement(218390..218551)","1008","116.5020247374","0","162","1008","1008"
"Miotto_candidate_943","NC_000962.3","complement(218503..218610)","13","2.2537594071","0","108","13","13"
"Rv0187","NC_000962.3","218705..219367","187","5.2809983741","0","663","187","187"
"Miotto_candidate_944","NC_000962.3","complement(219424..219601)","24","2.5245222054","0","178","24","24"
"Miotto_candidate_23","NC_000962.3","219429..219486","0","0","0","58","0","0"
"Rv0188","NC_000962.3","219486..219917","3287","142.4635994464","0","432","3287","3287"
"Miotto_candidate_945","NC_000962.3","complement(219653..219782)","1","0.1440272284","0","130","1","1"
"Miotto_candidate_946","NC_000962.3","complement(219830..219996)","28","3.1392761157","0","167","28","28"
"IGR51_Rodriguez_Rv0188-Rv0189c","NC_000962.3","219908..219973","0","0","0","66","0","0"
"ilvD","NC_000962.3","complement(219996..221723)","758","8.2132193779","0","1728","758","758"
"IGR52_Rodriguez_Rv0189c-Rv0190","NC_000962.3","221729..221783","0","0","0","55","0","0"
"Rv0190","NC_000962.3","221871..222161","949","61.0606156899","0","291","949","949"
"IGR53_Rodriguez_Rv0190-Rv0191","NC_000962.3","222101..222371","380","26.2544098973","0","271","380","380"
"Rv0191","NC_000962.3","222289..223530","591","8.9095104322","0","1242","591","591"
"Miotto_candidate_947","NC_000962.3","complement(223462..223494)","0","0","0","33","0","0"
"Rv0192","NC_000962.3","223564..224664","1309","22.2607751627","0","1101","1309","1309"
"Miotto_candidate_948","NC_000962.3","complement(223578..223653)","0","0","0","76","0","0"
"Rv0193c","NC_000962.3","complement(224724..226571)","59","0.5977753472","0","1848","59","59"
