,Accounted for,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat m=0.5,Chemostat m=0.35,Chemostat m=0.20,Chemostat m=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
10,Chemostat m=0.20,"[-0.07814115912208969, 0.0008627525562512898]","[-0.1859815004750222, 1.375218638356104e-15]","[-0.1351094143464558, 7.532899020324792e-09]","[0.05066685596741361, 0.030892856847364585]","[-0.035556305287297724, 0.1299665084348908]","[-0.028647975843050125, 0.22250505629158887]","[-0.0782744072237338, 0.0008452524497299445]","[-0.08855610931322862, 0.00015836980634515663]","[-0.153695942418105, 4.625531851983842e-11]","[-0.09232417840138513, 8.183031856316658e-05]","[0, 0]","[0.0017584791376839266, 0.9403224338947279]","[0.027533294685235604, 0.24103246236038195]","[0.027692897520972762, 0.23831504484736438]","[0.04377365926100139, 0.06225290780819724]","[-0.0878437356277097, 0.00017892102056588294]","[0.0053128723419451455, 0.8210544333721106]","[-0.07164150498807517, 0.002258482906624088]","[-0.036622994371856205, 0.1188329099525767]","[0.03242290492158824, 0.16736554308077714]","[-0.07889394928744495, 0.0007681226037481488]","[-0.1212998880371307, 2.179864205684417e-07]"
11,Chemostat m=0.12,"[-0.09199038875501385, 8.684741252802878e-05]","[-0.19244929120859233, 1.3321871136688173e-16]","[-0.14485747247978836, 5.653088507338309e-10]","[0.022913338302684782, 0.3292486813886779]","[-0.05614544685063558, 0.01674801591147893]","[-0.0513144722313845, 0.02881010195248614]","[-0.09282460532352864, 7.481858094196065e-05]","[-0.1013399361791761, 1.5216422430771278e-05]","[-0.14994698698903466, 1.361922143580292e-10]","[-0.09393726729291135, 6.120907985901895e-05]","[-0.048499565540274174, 0.03882749271986509]","[0, 0]","[0.02360050660001791, 0.3149472489490881]","[0.02415714677465151, 0.3036659941545073]","[0.02594769667733006, 0.2692161753249107]","[-0.09914682265682334, 2.321862041909261e-05]","[-0.007885765118375299, 0.7370747986942534]","[-0.08501214773192078, 0.00028803811630237665]","[-0.05622177859849416, 0.01659994218146386]","[0.013415655439900991, 0.5678798957450188]","[-0.09266010653092188, 7.705829750597562e-05]","[-0.13113882013672667, 2.0554889459696045e-08]"
12,Stationary phase 1 day,"[-0.18547771482084488, 1.6436905233906796e-15]","[-0.2606786980778609, 1.407890462142355e-29]","[-0.22686441719756176, 1.2896157778744563e-22]","[-0.12439111795211949, 1.058280765109703e-07]","[-0.17977411039617738, 1.1951562644271002e-14]","[-0.17634503063161044, 3.8196113442085657e-14]","[-0.2002580628985593, 7.112998013632267e-18]","[-0.2058528135860282, 8.080114248756398e-19]","[-0.23689548699927707, 1.4337519305040768e-24]","[-0.20153217063800574, 4.358676832697374e-18]","[-0.1842457560129937, 2.536827894858461e-15]","[-0.1774173036583869, 2.662632757217779e-14]","[0, 0]","[-0.02843498126967587, 0.2259641876383391]","[-0.030959672732606587, 0.18737760465800354]","[-0.20229191623794365, 3.2497031400691653e-18]","[-0.09045983368867026, 0.00011380408512267983]","[-0.18721438978442687, 8.869777487585856e-16]","[-0.17794686534229937, 2.22615999735619e-14]","[-0.13377886659682597, 1.0579681818281083e-08]","[-0.20232520902282414, 3.2080742171691824e-18]","[-0.2289654270398627, 5.114966850572073e-23]"
13,Stationary phase 3 days,"[-0.18599772747656093, 1.3673304686852041e-15]","[-0.26070246764842764, 1.3908976076201485e-29]","[-0.22703038231825248, 1.1991734450947066e-22]","[-0.12497032141299022, 9.224604076489535e-08]","[-0.1801433606037106, 1.0531483831259602e-14]","[-0.17644572373097522, 3.692708553273338e-14]","[-0.20072730573856326, 5.941333471974415e-18]","[-0.20632048880583212, 6.717403188897628e-19]","[-0.23753593606431966, 1.0679945788346325e-24]","[-0.20186567906285693, 3.8321569492635825e-18]","[-0.18470176801438573, 2.161127946081279e-15]","[-0.17794040996625526, 2.2310312363425542e-14]","[-0.03120499148715642, 0.18390463620623285]","[0, 0]","[-0.02906904333727468, 0.2157785382254127]","[-0.20380005586755964, 1.80808745659445e-18]","[-0.09085674122258863, 0.00010614170989309899]","[-0.18902158375020883, 4.638315940169477e-16]","[-0.17851585135839004, 1.8354645277431647e-14]","[-0.13439669705602655, 9.039734990471167e-09]","[-0.20309914956637878, 2.375775147525675e-18]","[-0.23040850967409626, 2.695577165799067e-23]"
14,Osmotic-stress glucose,"[-0.2372981060354088, 1.1915458906959465e-24]","[-0.27882958832842114, 9.153687763410065e-34]","[-0.25550486245194487, 1.9212372552332158e-28]","[-0.14682743909029383, 3.277611520124706e-10]","[-0.20954550289059573, 1.8567846071483355e-19]","[-0.2099812016709572, 1.5581439618386702e-19]","[-0.23861822026335158, 6.479779269496205e-25]","[-0.24101309053707604, 2.1256710502594423e-25]","[-0.27034908429057125, 9.076345577474476e-32]","[-0.221935134580941, 1.0887549789489257e-21]","[-0.20175749845261814, 3.9956742550620635e-18]","[-0.19300238944677306, 1.086886805027758e-16]","[-0.08244913911134448, 0.0004378809242359852]","[-0.0807513030857152, 0.0005742632730801693]","[0, 0]","[-0.2644974135694105, 1.9693987368547326e-30]","[-0.12691091226728757, 5.7959003732828806e-08]","[-0.2691105336300794, 1.7520922300619978e-31]","[-0.2104394644076379, 1.295171766243434e-19]","[-0.15792641722887918, 1.3241422282876602e-11]","[-0.24246079525310205, 1.0771773299726373e-25]","[-0.2840490514530002, 4.983329638035611e-35]"
15,42C glucose,"[-0.03362611401870634, 0.15214805969555106]","[-0.17768609854035278, 2.431500484066973e-14]","[-0.12337926254480437, 1.3432862442123962e-07]","[0.02844453464458943, 0.22580821951535623]","[-0.04021354667666676, 0.08676353497314171]","[-0.027045323629120332, 0.24947568512313914]","[-0.0625615017600091, 0.007674329391942824]","[-0.0758271122573678, 0.0012254982959956579]","[-0.12211928113932759, 1.8029649703711271e-07]","[-0.08396752658353583, 0.0003421320311114298]","[-0.0673564941679206, 0.004093566087988121]","[-0.06571348215631628, 0.005099534055233212]","[0.06924191364949633, 0.0031632567046268587]","[0.07256369436356305, 0.0019789956324017177]","[0.17102954902972878, 2.2100969143049045e-13]","[0, 0]","[0.11580699151887383, 7.538244740099883e-07]","[-0.019673184530203277, 0.4022347585302105]","[-0.026712928259535994, 0.25534397634151773]","[0.015976266471002556, 0.49637247729498146]","[-0.06422641473375722, 0.0061970751444650396]","[-0.1071032819283842, 4.809809957091304e-06]"
16,pH6 glucose,"[-0.17454146031127837, 6.972581755693327e-14]","[-0.24512931033614488, 3.0409094791513497e-26]","[-0.21107278013673794, 1.0024729814126905e-19]","[-0.09115593121140193, 0.00010069017897786371]","[-0.15732858737971273, 1.5834487492082532e-11]","[-0.1535965399667128, 4.761535324872166e-11]","[-0.1854773634684076, 1.6438946771600729e-15]","[-0.19066794099716422, 2.5550771898711557e-16]","[-0.2254300044441978, 2.411798051603865e-22]","[-0.17994043691194037, 1.1290000029090762e-14]","[-0.16037649027105214, 6.3169870995276e-12]","[-0.15316556934158232, 5.397807740341328e-11]","[-0.021628561381264108, 0.3570971263076126]","[-0.019366088543415164, 0.4096220917548842]","[0.0512171704581373, 0.029115100180944684]","[-0.2045241113919647, 1.3622644097914853e-18]","[0, 0]","[-0.1846546821994079, 2.1972346942778447e-15]","[-0.1565516871409865, 1.9956910919371673e-11]","[-0.10268990281627458, 1.1681041043996429e-05]","[-0.18789827691497632, 6.945419491160666e-16]","[-0.23370952525885738, 6.125045978038676e-24]"
17,Xylose,"[-0.05107894427388605, 0.029553149924744723]","[-0.18577214969419392, 1.4810931542430523e-15]","[-0.13301387608218035, 1.2842017453897031e-08]","[0.030296327842869942, 0.19701044195984185]","[-0.04792535058793773, 0.04119902697025718]","[-0.03455250337139638, 0.14116697076288853]","[-0.07607001021750684, 0.0011816861453139292]","[-0.08881596261035507, 0.00015144216295899044]","[-0.1380655495537056, 3.5001504158580146e-09]","[-0.09227879593573986, 8.249599768364382e-05]","[-0.074852477496899, 0.0014167973728781294]","[-0.07321155194254737, 0.0018020224190883178]","[0.04868893561741154, 0.03807124079688458]","[0.05393249486959484, 0.021575130326654944]","[0.18806709771659466, 6.537576239202151e-16]","[-0.06364775058668005, 0.0066786680520175236]","[0.09536559166076752, 4.7150319970068874e-05]","[0, 0]","[-0.03492271537541302, 0.1369528343926605]","[0.011995375934159763, 0.609558962034943]","[-0.0763819444283788, 0.001127542459764634]","[-0.13534117322207823, 7.097762537069874e-09]"
18,Mannose,"[-0.06531549332413285, 0.005374608164233756]","[-0.19136330080572778, 1.9830074567419763e-16]","[-0.1406551422851085, 1.7645719606390736e-09]","[0.06789802511646584, 0.003803749534780984]","[-0.039806458119351365, 0.09000508956688774]","[-0.028734647197995747, 0.221108371321839]","[-0.0875816285275811, 0.0001870941105010227]","[-0.10339745274098366, 1.0156117454803888e-05]","[-0.1667441265470335, 8.742586073249219e-13]","[-0.0938382239391845, 6.231837069677969e-05]","[-0.06334896692658798, 0.0069402659000600215]","[-0.059050286267815645, 0.011863755060694942]","[0.032833140166419895, 0.16205375057939592]","[0.0334976492734678, 0.15372078567807487]","[0.09110361505221973, 0.00010162397417029409]","[-0.08105803381975787, 0.0005470148450063683]","[0.038246071345836276, 0.103341857559024]","[-0.05848565487052034, 0.012700086701620542]","[0, 0]","[0.04921271474229648, 0.03604440391068969]","[-0.10444882728552608, 8.236234097363326e-06]","[-0.1505697520785782, 1.1403811593183444e-10]"
19,Galactose ,"[-0.12661979294524997, 6.217144565204117e-08]","[-0.2221742144060349, 9.828870909938831e-22]","[-0.1814923794722312, 6.619067736789182e-15]","[-0.028552634695910243, 0.22404872939225787]","[-0.12398655603988448, 1.164415359738683e-07]","[-0.11239187946354112, 1.5856457321285063e-06]","[-0.1522411485072447, 7.05563230345658e-11]","[-0.16097100275136106, 5.269387520703343e-12]","[-0.2081161777720973, 3.29155832757156e-19]","[-0.1573569146407394, 1.5701114649890186e-11]","[-0.12898153384061997, 3.5029346014330375e-08]","[-0.11602182072074235, 7.188641485688795e-07]","[0.0023562779795103777, 0.9200942005395822]","[0.0029869549963955295, 0.898809558826929]","[0.036615800012558, 0.11890541561492511]","[-0.13782645579360359, 3.726267433298549e-09]","[-0.017221828773598482, 0.4634075927296747]","[-0.12360196152358185, 1.274807968950268e-07]","[-0.12389969039452023, 1.1885104872276924e-07]","[0, 0]","[-0.17023542042612808, 2.8592657309472236e-13]","[-0.19178610876532615, 1.698971119312016e-16]"
20,Succinate,"[-0.02822072175107097, 0.2294823838033411]","[-0.170676869812472, 2.478264754643264e-13]","[-0.11161981194248181, 1.8704018045896257e-06]","[0.10412052740538899, 8.79501652250098e-06]","[0.021200130402043462, 0.3667039888258484]","[0.01917502256439055, 0.41425867954126494]","[-0.036701902910157416, 0.11803993083557184]","[-0.05204651862679979, 0.026602354363685667]","[-0.11774593101496894, 4.89560592115898e-07]","[-0.054298500592072266, 0.020701639967196497]","[-0.03205045238392811, 0.17230035927720586]","[-0.03247424263262732, 0.1666937479698906]","[0.05290910861889773, 0.024189685406887918]","[0.05441302707036346, 0.02043472075382818]","[0.12492892958081246, 9.315789716249446e-08]","[-0.04598484163902862, 0.05013969103156695]","[0.06847013062955161, 0.003517918592680079]","[-0.01274361773856516, 0.5874313976827843]","[0.055405890501103325, 0.018243715147540432]","[0.09182723178109477, 8.940413516025177e-05]","[0, 0]","[-0.09954608576189751, 2.1513147526014586e-05]"
21,Fructose,"[0.03563084066854349, 0.12916314526515105]","[-0.1485247842116907, 2.0371816449779625e-10]","[-0.08207043141598466, 0.00046538355630362875]","[0.10302026427794218, 1.0943687921099103e-05]","[0.03267756637672383, 0.16405298042495517]","[0.05245370078558223, 0.025438738596628277]","[0.013807206661433048, 0.5566338705934526]","[-0.0074808209287038595, 0.750114085086688]","[-0.06734791347874534, 0.004098315267669087]","[-0.028909939038311225, 0.2183028082173099]","[-0.015528274325269872, 0.5085274540599118]","[-0.02032695222713046, 0.38677635427958124]","[0.0739919302020075, 0.0016081881398819593]","[0.0774998216525973, 0.0009517762352840587]","[0.17164177353005375, 1.8106004688596233e-13]","[0.01244201497982033, 0.5963059312284594]","[0.12424690867101208, 1.0949932732600134e-07]","[0.05853575357300183, 0.012623827666718003]","[0.0752016959541353, 0.0013452967779315616]","[0.08451974135838074, 0.0003124537114604918]","[0.024347355019501752, 0.2998733701996626]","[0, 0]"
