,Accounted for,gluc_exp,gluc_sta,gluc_latesta,glyc_exp,glyc_sta,nacl_100_exp,nacl_300_exp,nacl_100_sta,nacl_300_sta,lact_exp,lact_sta,gluconate_exp,gluconate_sta,mgso4_0.08_exp,mgso4_0.08_sta,mgso4_8_exp,mgso4_400_exp,mgso4_8_sta,mgso4_400_sta,mgso4_0.005_exp,mgso4_0.005_sta
10,lact_sta,-0.26577886090233577,0.10598761342537408,0.09623087551081501,-0.17317918158599513,-0.007848273128710778,0.10377191611771323,-0.29137382381824883,-0.009962167504010033,-0.16496509854887395,-0.29743132283319196,0.0,-0.26895241328496844,0.05184726448696258,-0.12049221487456091,0.036572767113827585,-0.1266056588063874,-0.306927389224638,0.08252155833527797,-0.23766307040921558,-0.18398213832333274,-0.0026049205759541274
11,gluconate_exp,-0.08594204806117035,-0.041198515699334776,-0.0033887473264258955,-0.030845302620251216,-0.031921287613151064,0.024314084171670202,-0.15136345433294032,-0.0662119236744905,-0.09511596380265844,-0.13733455803928124,-0.06679831999014521,0.0,-0.05927668420950913,-0.0007664757313985891,-0.03848692623482572,0.0047308719956585974,-0.17813229931196062,-0.035780568663349964,-0.14916094347666323,-0.009920077937358168,-0.060368738114334956
12,gluconate_sta,-0.3488085869267873,0.06165283160974166,-0.009693993606624637,-0.2868711854294634,-0.15795340775405042,-0.013555782628991637,-0.36840054387991583,-0.09447809248034025,-0.2729679615565353,-0.3741673904033726,-0.24082693936396077,-0.35063899825927636,0.0,-0.23847716693222779,-0.07351012776017787,-0.24163404036295927,-0.3802993097975454,0.02906411083233755,-0.3297568383448953,-0.2854697520875642,-0.11672106213582956
13,mgso4_0.08_exp,-0.27293474449072347,-0.003927287118203416,0.00707682720126932,-0.17502589579951064,-0.05506078568336746,0.08745755553128931,-0.2974901643615498,-0.05583215966460404,-0.17106789078670928,-0.29338192101954796,-0.12480731449260564,-0.2630190082164823,-0.0506777536161082,0.0,-0.03027961943823799,-0.07866373264347942,-0.31613777551698596,-0.0009525417718532096,-0.24063752285749804,-0.16214004887548672,-0.06022128928663466
14,mgso4_0.08_sta,-0.35320998200200815,0.03292206229276989,-0.02020089656346236,-0.29353683464328284,-0.16595775255543976,-0.036645832477665306,-0.37259095468250425,-0.0877052332422968,-0.2792460219566808,-0.3755925983495016,-0.24514027581629075,-0.35256248462561685,-0.0946519421763226,-0.2422534708560432,0.0,-0.24511114212486365,-0.3849226395618482,0.027920945392078296,-0.335488345598032,-0.2886844825177203,-0.1224176676677358
15,mgso4_8_exp,-0.2728069708702365,0.001546608987706607,0.011076573292454579,-0.16568458981698275,-0.04716304640738971,0.06971550421046371,-0.296199314276377,-0.057022542380832486,-0.16691160551728637,-0.2899390087180966,-0.12302753145590727,-0.2595237721749276,-0.046855536153519256,-0.06493283350898081,-0.020391715078011186,0.0,-0.3205236948484946,0.00535824743054939,-0.23535543487568955,-0.15759836336351044,-0.05835752182545258
16,mgso4_400_exp,-0.013942230062043308,0.02925159371219726,0.06685790607074302,0.03382573178063261,0.04594045421087366,0.10146349513764434,-0.04178051636510209,-0.016337777529213022,-0.006542451185626086,-0.10780491215283451,-0.007217219264902439,-0.06293715798915266,0.0165232213547488,0.07293071084599388,0.028920096535282616,0.10182442726283306,0.0,0.02699807545860728,-0.018019371014126356,0.037301472899740375,0.008502327672090764
17,mgso4_8_sta,-0.4022982224132273,-0.11248399485834547,-0.14083189380066297,-0.35439528275344273,-0.2666120512360167,-0.13950036749890152,-0.41875155994288954,-0.1808143813129228,-0.3445853996138933,-0.4211028474229328,-0.32381073111062025,-0.4015450230827648,-0.21587760286349228,-0.31264602804200314,-0.20765488063404064,-0.3155298520803728,-0.42915420774822804,0.0,-0.389267652498795,-0.34874113449887856,-0.21811995749201693
18,mgso4_400_sta,-0.16670177060931488,0.06816005361161973,0.10399945916641849,-0.08026135476711838,0.04347283343172722,0.09097901624764539,-0.18719240111163488,0.0051505115348201005,-0.05845983107419887,-0.21970869916641783,-0.03234790058802902,-0.18808927252319624,0.031107621913092822,-0.03847290302281811,0.040902424802362024,-0.028244339087510898,-0.2030882701951427,0.05731423167480747,0.0,-0.09850308891305494,0.03236675733414413
19,mgso4_0.005_exp,-0.21787153428467643,-0.018215684252258047,0.00037029374098477105,-0.08651128096967406,-0.0381932670987614,0.06613118635645668,-0.249563179168654,-0.0569275921255061,-0.13354256536163342,-0.2480250181997329,-0.09415798022602405,-0.21018005404756235,-0.049160623595972404,0.006012606567483149,-0.029152929799494635,-0.022973612084901826,-0.2683766365264622,-0.014539526949416943,-0.20117861861902914,0.0,-0.05650369286044981
20,mgso4_0.005_sta,-0.3467967447634873,-0.014402598675048487,-0.039980650047972285,-0.28415585264579624,-0.16380884879537624,-0.050459726352275136,-0.3662050432763412,-0.09297351240349716,-0.27013331183590794,-0.3700473416407841,-0.23208548533273782,-0.3486775204559811,-0.10932327769480825,-0.23722330261544558,-0.0988764238054967,-0.24069610528815052,-0.37816054386400266,-0.013131784451753272,-0.3275668162705474,-0.2839919363682967,0.0
