id	dN	dS	id_symbol
MRA_2596	0.1069	1.0863	MRA_2596
MRA_2774	0.0796	1.0318	ftsK
MRA_0347	0.0921	1.4923	MRA_0347
MRA_0591	0.1393	1.5939	MRA_0591
MRA_2474	0.0615	1.1384	valS
MRA_1286	0.1709	1.1428	MRA_1286
MRA_1758	0.0871	1.0056	MRA_1758
MRA_1336	0.0752	1.1118	glgP
MRA_2493	0.0697	1.0234	pepN
MRA_1036	0.1205	1.9374	kdpD
MRA_1184	0.0457	1.0243	fbiC
MRA_0994	0.2073	1.0026	MRA_0994
MRA_2062	0.1266	1.1787	MRA_2062
MRA_0261	0.0481	1.1185	nirB
MRA_0392	0.0405	1.458	clpB
MRA_3636	0.0116	0.8399	clpC1
MRA_1470	0.0618	1.751	MRA_1470
MRA_0006	0.0319	1.154	gyrA
MRA_1661	0.0917	1.0732	pheT
MRA_3717	0.0416	1.3116	ponA2
MRA_1833	0.0472	1.3048	secA2
MRA_2943	0.143	0.8928	glnD
MRA_3184	0.0742	1.2084	nuoG
MRA_1877	0.1307	1.1052	MRA_1877
MRA_3948	0.1351	1.0413	MRA_3948
MRA_0382	0.0281	1.0963	MRA_0382
MRA_0915	0.1104	1.2539	ctpE
MRA_0592	0.0993	1.1612	MRA_0592
MRA_2763	0.393	74.571	recA
MRA_2612	0.0243	0.8437	relA
MRA_2507	0.0851	1.2092	plsB2
MRA_0673	0.2336	91.7324	atsD
MRA_3441	0.0429	0.8624	MRA_3441
MRA_2925	0.0631	1.0126	fdhF
MRA_0956	0.0607	1.1522	uvrD1
MRA_3684	0.0848	0.9933	MRA_3684
MRA_0976	0.0988	1.3624	ctpV
MRA_1575	0.1399	1.1376	treY
MRA_3314	0.1434	0.936	MRA_3314
MRA_0108	0.1131	1.4841	ctpB
MRA_3649	0.0396	1.1546	ftsH
MRA_1142	0.0783	1.2721	metE
MRA_0946	0.1041	1.0771	MRA_0946
MRA_3095	0.1327	1.4138	cstA
MRA_0870	0.1049	0.8727	MRA_0870
MRA_0813	0.0346	1.0571	purL
MRA_2807	0.0291	1.0957	gpsI
MRA_1503	0.0506	1.1242	mutB
MRA_0416	0.0647	0.8306	pknG
MRA_0205	0.0784	1.3174	MRA_0205
MRA_3909	0.0672	1.0071	MRA_3909
MRA_0068	0.0678	1.1918	icd2
MRA_3013	0.0543	0.7985	ppk
MRA_1848	0.0762	1.7741	glcB
MRA_1919	0.0731	1.1992	katG
MRA_3001	0.0959	1.1275	recG
MRA_1334	0.0609	0.9865	glgB
MRA_3093	0.0827	1.38	fadE22
MRA_2461	0.1906	1.1421	MRA_2461
MRA_3918	0.2548	1.5153	MRA_3918
MRA_1577	0.1098	1.4197	MRA_1577
MRA_0440	0.0957	1.109	MRA_0440
MRA_1796	0.1121	1.1229	malQ
MRA_1576	0.0605	1.1323	treX
MRA_0868	0.0335	1.0436	fadB
MRA_3311	0.0477	1.1345	ctpC
MRA_1363	0.1314	0.6311	moeY
MRA_0005	0.0457	1.5517	gyrB
MRA_0127	0.0576	0.9872	fusA2
MRA_3612	0.0945	1.3091	fadE34
MRA_1038	0.1727	77.6035	kdpB
MRA_2975	0.1159	0.616	fadD22
MRA_0693	0.0377	1.3743	fusA1
MRA_1335	0.0636	0.9024	glgE
MRA_1458	0.0427	1.13	tkt
MRA_3234	0.0625	1.1626	uvrD2
MRA_1879	0.1394	1.1415	MRA_1879
MRA_2749	0.2019	1.2255	MRA_2749
MRA_1643	0.0257	1.0405	uvrB
MRA_2346	0.1098	0.956	MRA_2346
MRA_2899	0.2314	77.0027	dipZ
MRA_3083	0.0266	1.0957	nrdE
MRA_0577	0.0976	1.2066	nrdZ
MRA_2642	0.069	1.1186	thrS
MRA_3044	0.0628	1.1803	ligA
MRA_0194	0.1006	1.0489	bglS
MRA_0414	0.1113	1.1484	pta
MRA_0117	0.0876	1.2013	MRA_0117
MRA_0832	0.1852	1.4784	MRA_0832
MRA_2045	0.105	2.7632	MRA_2045
MRA_2464	0.0782	1.627	nadE
MRA_2178	0.0777	1.0335	pbpB
MRA_1847	0.1823	1.1841	MRA_1847
MRA_1186	0.0729	1.0588	fadH
MRA_1094	0.1055	0.9853	MRA_1094
MRA_0463	0.0975	1.0561	MRA_0463
MRA_0966	0.0483	0.783	MRA_0966
MRA_0980	0.0984	1.1602	accA2
MRA_3819	0.1744	1.4176	MRA_3819
MRA_1337	0.0879	0.9275	dinG
MRA_0939	0.161	1.4032	pknD
MRA_0206	0.0911	1.2834	MRA_0206
MRA_0107	0.1746	1.1976	MRA_0107
MRA_2365	0.1453	0.9939	MRA_2365
MRA_2718	0.0894	1.377	MRA_2718
MRA_1411	0.0824	0.9821	priA
MRA_2527	0.1017	1.2459	accA1
MRA_2481	0.0543	0.9692	MRA_2481
MRA_1373	0.1216	1.0611	MRA_1373
MRA_2428	0.0247	1.4227	lepA
MRA_2217	0.0555	1.1102	asnB
MRA_3702	0.0813	0.9908	acs
MRA_0880	0.0831	1.0836	fadE10
MRA_2316	0.0862	1.3741	htpG
MRA_1429	0.0378	0.9443	uvrC
MRA_0257	0.0506	1.0694	MRA_0257
MRA_3747	0.0558	1.248	leuA
MRA_0947	0.0998	1.2298	MRA_0947
MRA_3832	0.0959	1.156	MRA_3832
MRA_0782	0.0933	1.0195	ggtA
MRA_2426	0.0324	1.091	MRA_2426
MRA_0087	0.1406	1.1013	MRA_0087
MRA_1831	0.1383	2.1391	MRA_1831
MRA_2363	0.0947	1.4137	dnaG
MRA_2710	0.0606	1.0597	dxs1
MRA_0679	0.1291	0.8557	MRA_0679
MRA_3848	0.0556	1.0693	glfT
MRA_3841	0.0146	0.7792	fadD32
MRA_1177	0.0727	0.9896	lpqW
MRA_3189	0.0691	1.1334	nuoL
MRA_0291	0.0857	1.1666	MRA_0291
MRA_1280	0.1016	0.8478	MRA_1280
MRA_2873	0.0654	1.0323	MRA_2873
MRA_0499	0.1112	1.2267	MRA_0499
MRA_1176	0.0617	1.5265	typA
MRA_3845	0.0913	0.9303	MRA_3845
MRA_3800	0.1145	1.7077	MRA_3800
MRA_1274	0.114	1.6687	pknH
MRA_0016	0.0532	1.2766	pknB
MRA_2942	0.081	1.1786	MRA_2942
MRA_0359	0.0288	1.1948	dnaK
MRA_3477	0.0438	1.0567	glmS
MRA_0732	0.1038	0.952	sppA
MRA_1936	0.1228	1.0694	fadD31
MRA_0321	0.2089	1.1672	MRA_0321
MRA_2977	0.1078	0.6242	fadD29
MRA_3923	0.2636	74.8532	MRA_3923
MRA_3033	0.0477	1.3158	ilvB1
MRA_1502	0.1179	1.2168	mutA
MRA_1294	0.0503	0.9676	cysN
MRA_1289	0.0665	1.0939	oppD
MRA_0253	0.0399	1.2944	fadE5
MRA_2938	0.0694	1.2558	MRA_2938
MRA_1811	0.0375	1.2891	MRA_1811
MRA_1476	0.0683	1.1109	fadE15
MRA_2130	0.0256	0.8225	MRA_2130
MRA_0219	0.0557	1.549	pckA
MRA_2889	0.087	1.1112	MRA_2889
MRA_1305	0.0753	0.9786	rho
MRA_0133	0.042	0.9967	treS
MRA_3326	0.0347	1.2804	accA3
MRA_2202	0.0922	1.0937	fadD15
MRA_1215	0.1047	0.9541	fadD6
MRA_2601	0.0389	0.9729	aspS
MRA_0924	0.0665	0.8256	betP
MRA_3837	0.0947	1.3673	fadE35
MRA_2230	0.096	1.2893	ephD
MRA_1288	0.0823	1.3672	oppA
MRA_3910	0.0914	0.8584	MRA_3910
MRA_3671	0.1139	1.1712	MRA_3671
MRA_1468	0.109	0.9562	MRA_1468
MRA_3360	0.0245	1.2984	sdhA
MRA_1440	0.0862	1.3228	MRA_1440
MRA_2811	0.1345	0.7046	MRA_2811
MRA_1079	0.1315	1.0054	MRA_1079
MRA_1705	0.1113	1.132	recN
MRA_1708	0.041	1.1971	pyrG
MRA_2967	0.0774	0.5313	fadD28
MRA_1809	0.1168	1.1447	mycP5
MRA_3343	0.0399	0.9676	glpD2
MRA_2939	0.2413	1.7369	pknI
MRA_1541	0.1884	0.8279	fadD24
MRA_2594	0.1682	0.8057	MRA_2594
MRA_3285	0.0613	1.0596	lpqB
MRA_2956	0.1175	0.8096	fadD26
MRA_0125	0.092	1.5236	MRA_0125
MRA_1281	0.0809	1.095	MRA_1281
MRA_0763	0.224	0.6226	MRA_0763
MRA_2508	0.1054	1.2286	plsC
MRA_1574	0.0965	0.9476	treZ
MRA_1258	0.1909	1.1593	MRA_1258
MRA_3449	0.0505	0.9733	choD
MRA_1195	0.1646	1.0314	fadD21
MRA_3164	0.1717	1.5435	devS
MRA_1141	0.0834	1.429	MRA_1141
MRA_1630	0.1544	1.0396	cydC
MRA_0234	0.1638	1.3637	MRA_0234
MRA_0197	0.0343	0.9366	ilvD
MRA_0893	0.1217	1.2034	fprB
MRA_0638	0.1733	1.4067	recD
MRA_2616	0.0722	0.9172	secD
MRA_2042	0.2217	2.8807	MRA_2042
MRA_3907	0.0443	1.1463	MRA_3907
MRA_3075	0.0239	0.9426	ctaD
MRA_0558	0.0426	0.9312	fadD8
MRA_1037	0.3576	46.2865	kdpA
MRA_0239	0.0698	1.3989	fadE4
MRA_1326	0.1458	1.0714	MRA_1326
MRA_3286	0.0426	1.021	mtrB
MRA_1015	0.1784	1.3298	MRA_1015
MRA_0794	0.0759	0.9999	MRA_0794
MRA_2407	0.8407	13.1599	mbtA
MRA_0518	0.0576	0.8844	hemD
MRA_3534	0.0964	0.9044	mce4F
MRA_2415	0.0361	0.9017	nirA
MRA_1261	0.0823	0.932	deaD
MRA_3576	0.0602	1.2876	MRA_3576
MRA_0914	0.1416	1.4741	MRA_0914
MRA_0861	0.0763	1.3165	pdc
MRA_0054	0.0942	1.0006	MRA_0054
MRA_0983	0.0679	1.4803	MRA_0983
MRA_0278	0.0822	1.2133	fadD2
MRA_1173	0.0494	0.9424	narH
MRA_1995	0.2833	0.7514	MRA_1995
MRA_2502	0.0168	1.0844	MRA_2502
MRA_2777	0.0377	0.9333	MRA_2777
MRA_2614	0.1053	1.3153	MRA_2614
MRA_1645	0.1645	1.4629	MRA_1645
MRA_1713	0.1009	1.2307	cycA
MRA_2127	0.0158	0.9011	MRA_2127
MRA_0562	0.0654	0.9847	menD
MRA_0174	0.0866	0.9611	fadD5
MRA_3190	0.0698	0.8952	nuoM
MRA_2231	0.0702	1.3196	dlaT
MRA_3304	0.0863	1.0742	MRA_3304
MRA_0953	0.0565	0.8601	pgi
MRA_2436	0.0551	1.2734	MRA_2436
MRA_3925	0.2202	58.0198	mycP2
MRA_2114	0.2845	2.5953	MRA_2114
MRA_1300	0.0478	1.0095	argS
MRA_2212	0.0246	1.0925	qcrB
MRA_2824	0.1154	1.1076	MRA_2824
MRA_3680	0.075	0.889	MRA_3680
MRA_1316	0.0326	0.8535	atpA
MRA_3554	0.0539	1.633	fadD19
MRA_2352	0.1004	1.0811	mez
MRA_1226	0.1461	1.399	MRA_1226
MRA_3697	0.1052	1.1918	dppD
MRA_0545	0.2423	3.8923	MRA_0545
MRA_0883	0.0749	1.0329	MRA_0883
MRA_3321	0.0404	1.2116	accD5
MRA_2531	0.1027	1.2249	fadD35
MRA_1832	0.078	1.1351	ilvG
MRA_3101	0.0587	1.1361	pgmA
MRA_0429	0.0296	1.0685	thiC
MRA_2497	0.1111	0.8763	aglA
MRA_1021	0.0671	3.0469	pks16
MRA_1068	0.0757	1.0527	fadD14
MRA_1197	0.0521	0.9752	rocA
MRA_0869	0.023	0.8382	ercc3
MRA_2305	0.1486	1.2105	yjcE
MRA_1482	0.0393	0.899	MRA_1482
MRA_0682	0.0493	1.0813	fadE8
MRA_3700	0.115	1.2672	dppA
MRA_2781	0.1126	1.8893	hsdM
MRA_0445	0.0181	0.902	groEL1
MRA_0792	0.1798	1.2935	emrB
MRA_0103	0.1408	0.8285	fadD10
MRA_3851	0.1097	1.3546	MRA_3851
MRA_1396	0.1601	0.4485	MRA_1396
MRA_3457	0.0708	1.2208	groEL2
MRA_1196	0.1248	1.1808	MRA_1196
MRA_0292	0.143	1.0388	MRA_0292
MRA_3924	0.3898	4.5017	MRA_3924
MRA_0222	0.0874	0.9791	fadD4
MRA_0289	0.321	3.2925	MRA_0289
MRA_2173	0.1216	1.1858	murE
MRA_0905	0.1262	0.9388	MRA_0905
MRA_3349	0.1221	0.892	pmmB
MRA_2067	0.0903	1.4073	MRA_2067
MRA_0559	0.0976	1.18	MRA_0559
MRA_2536	0.111	1.8525	MRA_2536
MRA_0816	0.089	1.1022	cpsY
MRA_3546	0.0927	1.1712	fadD17
MRA_3191	0.0863	1.1011	nuoN
MRA_2869	0.0505	1.0369	efpA
MRA_0180	0.1001	1.7906	mce1D
MRA_2528	0.0317	1.0053	accD1
MRA_2271	0.09	0.8835	MRA_2271
MRA_3451	0.0289	1.2992	guaB2
MRA_0981	0.0329	0.9825	accD2
MRA_2606	0.1002	1.315	MRA_2606
MRA_0535	0.084	1.2165	MRA_0535
MRA_3025	0.0456	0.9989	serA1
MRA_1232	0.0769	1.1067	htrA
MRA_2731	0.0673	0.9832	sigA
MRA_1287	0.7535	66.8046	MRA_1287
MRA_2700	0.1297	1.2291	MRA_2700
MRA_0022	0.0957	1.0867	MRA_0022
MRA_1605	0.1024	0.9934	nadB
MRA_3139	0.0846	1.2124	agpS
MRA_3250	0.1103	1.0747	rhlE
MRA_0818	0.0263	0.9232	purF
MRA_1631	0.1404	1.4971	cydD
MRA_3062	0.0703	1.1418	MRA_3062
MRA_0126	0.1426	1.2986	fadD7
MRA_2941	0.0452	0.9207	ffh
MRA_3436	0.0593	0.7714	guaA
MRA_3081	0.091	1.5018	MRA_3081
MRA_2169	0.1051	0.9119	ftsW
MRA_2629	0.1137	1.385	speE
MRA_0964	0.0494	1.1846	purH
MRA_3839	0.0286	1.2748	accD4
MRA_2240	0.1358	1.0782	MRA_2240
MRA_0265	0.1809	0.713	MRA_0265
MRA_2241	0.0642	0.8454	MRA_2241
MRA_1016	0.0562	1.3679	metG
MRA_0777	0.0789	1.1726	aldA
MRA_1419	0.0875	1.0303	MRA_1419
MRA_1740	0.0402	0.2893	MRA_1740
MRA_3731	0.0366	1.0177	glpK
MRA_0182	0.1312	1.3702	mce1F
MRA_3858	0.0706	1.1291	MRA_3858
MRA_1619	0.0471	1.0974	trpE
MRA_2269	0.079	1.0086	glpD1
MRA_2189	0.111	0.9828	MRA_2189
MRA_2229	0.0694	0.9207	pepB
MRA_0179	0.1208	1.1701	mce1C
MRA_3549	0.0885	1.2176	ilvX
MRA_2349	0.162	1.1955	narK1
MRA_2439	0.157	1.2702	MRA_2439
MRA_0020	0.1196	0.9662	ppp
MRA_1456	0.0468	0.9592	zwf2
MRA_2244	0.1398	0.9341	MRA_2244
MRA_2759	0.0744	1.2103	MRA_2759
MRA_3524	0.1101	1.0814	cpsA
MRA_3916	0.1399	1.2739	MRA_3916
MRA_2060	0.1004	1.0509	lipT
MRA_1192	0.1385	1.5337	papA3
MRA_2172	0.0866	1.0874	murF
MRA_0762	0.0454	1.0771	mmsA
MRA_1040	0.1448	1.2217	trcS
MRA_3926	0.387	4.1447	MRA_3926
MRA_3734	0.0801	0.9328	MRA_3734
MRA_3039	0.0362	1.1269	gatB
MRA_2080	0.0657	1.0471	cobI
MRA_3600	0.0787	0.9898	fadD3
MRA_0001	0.0557	1.2776	dnaA
MRA_3094	0.1136	1.0698	ligB
MRA_0464	0.0553	0.9241	MRA_0464
MRA_0154	0.1002	1.3999	MRA_0154
MRA_1797	0.0746	1.2071	MRA_1797
MRA_2335	0.0768	1.1577	MRA_2335
MRA_3638	0.0552	0.8534	lysS2
MRA_0854	0.1654	1.3444	MRA_0854
MRA_0989	0.0657	0.8681	mprB
MRA_1011	0.0853	1.2347	MRA_1011
MRA_1808	0.1163	1.337	MRA_1808
MRA_2922	0.0576	1.1436	MRA_2922
MRA_0345	0.144	1.2045	MRA_0345
MRA_0522	0.144	1.2045	MRA_0522
MRA_0920	0.0765	0.9867	MRA_0920
MRA_1774	0.2665	4.674	MRA_1774
MRA_0168	0.1907	1.4379	MRA_0168
MRA_3373	0.1659	1.5459	sugI
MRA_3259	0.0912	0.9816	MRA_3259
MRA_0665	0.125	1.3471	MRA_0665
MRA_3530	0.0892	1.0606	otsA
MRA_0424	0.1068	1.4051	lpqL
MRA_0804	0.0855	1.0004	MRA_0804
MRA_3308	0.0888	1.1436	MRA_3308
MRA_2020	0.3175	71.9812	MRA_2020
MRA_0425	0.1333	1.0381	lpqM
MRA_1325	0.0931	1.0663	alkA
MRA_3294	0.0833	1.1249	MRA_3294
MRA_3289	0.0278	1.2168	sahH
MRA_0911	0.0877	1.0587	accD3
MRA_2752	0.0588	1.203	hflX
MRA_1026	0.0798	1.365	glmU
MRA_1271	0.0997	1.0955	amiB2
MRA_3934	0.262	39.7831	MRA_3934
MRA_3894	0.0743	1.3913	ethA
MRA_3334	0.0811	1.1651	pcd
MRA_1878	0.1297	1.5912	MRA_1878
MRA_0264	0.0697	0.5713	cobQ1
MRA_2167	0.0608	1.1763	murC
MRA_3041	0.0438	1.3453	gatA
MRA_2875	0.0999	1.0664	mqo
MRA_3344	0.0444	0.9263	lpdA
MRA_0091	0.1217	2.9512	hycE
MRA_0218	0.2319	1.0249	MRA_0218
MRA_3091	0.178	3.2808	cyp136
MRA_0150	0.0712	1.2311	MRA_0150
MRA_2509	0.1366	0.9209	MRA_2509
MRA_0018	0.071	1.2119	pbpA
MRA_1136	0.1302	1.3744	ppdK
MRA_3021	0.0787	1.0883	gltX
MRA_1650	0.3033	3.5912	MRA_1650
MRA_2141	0.0663	1.2427	ansP1
MRA_3898	0.0425	0.9362	gltD
MRA_0090	0.1655	2.5452	hycQ
MRA_0658	0.0445	1.0807	MRA_0658
MRA_2473	0.0829	1.1748	folC
MRA_0231	0.0498	1.2586	MRA_0231
MRA_1829	0.0497	1.0748	MRA_1829
MRA_1318	0.0206	1.0585	atpD
MRA_2170	0.1414	0.9578	murD
MRA_0471	0.0381	0.8321	MRA_0471
MRA_0572	0.098	1.0805	MRA_0572
MRA_0768	0.1373	0.9642	phoR
MRA_1855	0.0538	1.0524	gnd1
MRA_1633	0.0917	1.4141	cydA
MRA_2387	0.0662	0.8145	amiA2
MRA_1629	0.1448	1.1269	MRA_1629
MRA_1137	0.1696	1.9505	MRA_1137
MRA_0243	0.0997	1.0904	MRA_0243
MRA_1640	0.0198	0.8141	rpsA
MRA_2460	0.1377	1.6358	MRA_2460
MRA_2451	0.0618	1.029	MRA_2451
MRA_3026	0.1125	1.1246	MRA_3026
MRA_3946	0.0674	1.1034	pcnA
MRA_3624	0.0815	1.3222	radA
MRA_3908	0.1325	0.9781	MRA_3908
MRA_0493	0.0688	1.0116	MRA_0493
MRA_0065	0.0774	0.6289	MRA_0065
MRA_0705	0.0999	0.7252	MRA_0705
MRA_1854	0.0617	0.9738	guaB1
MRA_2466	0.0498	0.9706	obg
MRA_2237	0.0231	1.1729	glnA1
MRA_0544	0.2329	1.263	MRA_0544
MRA_2945	0.0726	0.8908	amt
MRA_2340	0.0945	1.2882	rocE
MRA_3720	0.0986	1.0441	cyp137
MRA_3802	0.094	1.018	MRA_3802
MRA_0165	0.042	1.2203	pntB
MRA_1109	0.0528	1.1338	fumC
MRA_3266	0.1388	1.0164	MRA_3266
MRA_1441	0.302	24.5824	MRA_1441
MRA_1203	0.0966	1.0851	fadD36
MRA_3017	0.0435	0.7666	leuC
MRA_2138	0.2946	1.4034	MRA_2138
MRA_2267	0.0144	0.892	accD6
MRA_3474	0.0664	1.3107	MRA_3474
MRA_2913	0.1314	1.0467	amiC
MRA_3229	0.1062	1.0534	MRA_3229
MRA_1487	0.0992	1.1547	MRA_1487
MRA_0786	0.0569	1.0044	purB
MRA_0299	0.1225	1.1994	MRA_0299
MRA_0336	0.0901	1.0633	cyp135A1
MRA_1627	0.0351	1.0375	pykA
MRA_1644	0.1178	1.1107	MRA_1644
MRA_2549	0.0547	1.1904	MRA_2549
MRA_0704	0.0828	1.4012	MRA_0704
MRA_0399	0.05	0.9292	ndhA
MRA_3002	0.1153	1.2656	MRA_3002
MRA_3491	0.1707	0.9923	MRA_3491
MRA_1670	0.0589	0.9376	argH
MRA_3756	0.0889	0.8788	MRA_3756
MRA_0019	0.0779	1.0259	rodA
MRA_0269	0.1002	1.1033	narK3
MRA_0229	0.2229	1.4779	MRA_0229
MRA_3619	0.0601	0.9653	cysS2
MRA_3172	0.0779	1.0246	fadE24
MRA_2741	0.0232	1.3917	sthA
MRA_0516	0.0849	0.9306	hemA
MRA_1815	0.4342	11.4304	MRA_1815
MRA_1244	0.1153	1.2758	lpqY
MRA_3489	0.3279	1.1263	MRA_3489
MRA_3480	0.3153	1.18	MRA_3480
MRA_1130	0.0913	1.0769	zwf1
MRA_2488	0.1478	1.2309	tig
MRA_3298	0.0838	0.7887	pmmA
MRA_0305	0.1025	0.8866	MRA_0305
MRA_1087	0.0355	1.0132	cbs
MRA_0468	0.0495	1.5696	lpd
MRA_0990	0.0756	1.4254	pepD
MRA_3162	0.3399	8.0534	MRA_3162
MRA_0100	0.2603	1.0217	MRA_0100
MRA_1865	0.0394	1.076	ndh
MRA_1549	0.1062	0.9862	dinX
MRA_2381	0.0386	1.1412	glyS
MRA_1723	0.0485	1.3528	engA
MRA_0531	0.0598	0.976	hemL
MRA_1911	0.0973	1.1855	lipJ
MRA_2193	0.0424	1.1128	aroG
MRA_3921	0.1302	1.1905	MRA_3921
MRA_3295	0.1316	0.9415	MRA_3295
MRA_3663	0.1069	1.021	MRA_3663
MRA_1403	0.5737	11.7403	cyp132
MRA_0300	0.1655	1.1444	mycP3
MRA_3830	0.0572	1.2672	MRA_3830
MRA_0071	0.2167	58.8328	sdaA
MRA_1762	0.1115	0.8549	MRA_1762
MRA_3473	0.0513	1.2688	gadB
MRA_3920	0.3454	4.6622	MRA_3920
MRA_2878	0.0633	0.9373	mtr
MRA_0965	0.0295	0.9272	MRA_0965
MRA_1014	0.0985	0.9157	pabB
MRA_1416	0.0906	1.3482	fmu
MRA_2334	0.0691	1.2295	MRA_2334
MRA_2871	0.096	0.868	cobB
MRA_3138	0.0799	1.5043	fprA
MRA_0480	0.0684	1.073	MRA_0480
MRA_1853	0.1085	1.2696	MRA_1853
MRA_3490	0.1947	1.1081	mycP4
MRA_0134	0.1162	1.4481	MRA_0134
MRA_0962	0.1298	1.3228	MRA_0962
MRA_1265	0.0553	0.9899	MRA_1265
MRA_0177	0.1818	1.5036	mce1A
MRA_0251	0.049	1.11	fabG-1
MRA_1711	0.2164	92.559	MRA_1711
MRA_2588	0.0696	1.2942	MRA_2588
MRA_2705	0.1228	1.1936	hemY
MRA_2112	0.0209	0.6426	MRA_2112
MRA_0188	0.1038	1.045	MRA_0188
MRA_3724	0.2264	1.6163	MRA_3724
MRA_0490	0.0959	1.0701	lprQ
MRA_0773	0.0583	1.1665	cyp51
MRA_3536	0.0811	1.3699	mce4D
MRA_3268	0.101	1.0811	aroA
MRA_2757	0.0861	1.3208	MRA_2757
MRA_1889	0.1209	1.2483	glnA3
MRA_2618	0.0711	1.3273	gabT
MRA_2989	0.1027	0.841	MRA_2989
MRA_3331	0.0948	1.2035	lat
MRA_0548	0.1147	1.4884	MRA_0548
MRA_0169	0.1113	1.1797	MRA_0169
MRA_3381	0.0446	1.5459	metC
MRA_2155	0.0669	1.3231	MRA_2155
MRA_0029	0.2647	1.5029	MRA_0029
MRA_1338	0.1003	1.2082	MRA_1338
MRA_3203	0.0986	1.0105	aofH
MRA_3482	0.0524	0.9476	mrsA
MRA_0737	0.1326	1.0108	xylB
MRA_3303	0.0916	1.1051	fbiB
MRA_1301	0.0644	0.92	lysA
MRA_3232	0.052	0.9486	MRA_3232
MRA_0138	0.0394	1.3178	fadE1
MRA_3411	0.2282	1.0796	MRA_3411
MRA_3922	0.0947	1.1863	mycP1
MRA_0909	0.0318	1.1014	prrB
MRA_1602	0.1086	1.2089	MRA_1602
MRA_1934	0.2136	4.7637	lipD
MRA_2239	0.0332	0.9574	glnA2
MRA_1315	0.1135	1.1684	atpH
MRA_3023	0.1515	1.9463	MRA_3023
MRA_3183	0.0415	0.8911	nuoF
MRA_2534	0.1293	1.2629	MRA_2534
MRA_1635	0.1435	1.2171	cya
MRA_0331	0.0547	0.953	udgA
MRA_0395	0.2809	1.2501	MRA_0395
MRA_0578	0.1569	2.2036	MRA_0578
MRA_2615	0.1172	1.3686	secF
MRA_0226	0.0953	0.8614	MRA_0226
MRA_0040	0.1139	1.3494	MRA_0040
