"Name","Chromosome","Region","Expression value","TPM","RPKM","Gene length","Unique gene reads","Total gene reads"
"Miotto_candidate_13","NC_000962.3","87687..87819","6","0.9390866438","0","133","6","6"
"Rv0078B","NC_000962.3","complement(87798..88004)","1589","159.793682803","0","207","1589","1589"
"Miotto_candidate_14","NC_000962.3","87932..88008","1","0.2703431247","0","77","1","1"
"Miotto_candidate_15","NC_000962.3","88167..88204","0","0","0","38","0","0"
"Rv0079","NC_000962.3","88204..89025","34962","885.3816267243","0","822","34962","34962"
"Rv0080","NC_000962.3","89022..89480","11118","504.2199657485","0","459","11118","11118"
"Miotto_candidate_912","NC_000962.3","complement(89426..89466)","0","0","0","41","0","0"
"Rv0081","NC_000962.3","89575..89919","1311","79.1023982963","0","345","1311","1311"
"Rv0082","NC_000962.3","89924..90403","1324","57.4186268335","0","480","1324","1324"
"Rv0083","NC_000962.3","90400..92322","2633","28.5021505206","0","1923","2633","2633"
"hycD","NC_000962.3","92328..93278","1872","40.9761717889","0","951","1872","1872"
"hycP","NC_000962.3","93289..93951","858","26.9388972526","0","663","858","858"
"hycQ","NC_000962.3","93951..95417","1359","19.2839233819","0","1467","1359","1359"
"hycE","NC_000962.3","95414..96892","599","8.430720718","0","1479","599","599"
"Rv0088","NC_000962.3","96927..97601","1178","36.3285088472","0","675","1178","1178"
"Miotto_candidate_913","NC_000962.3","complement(97097..97143)","0","0","0","47","0","0"
"Miotto_candidate_914","NC_000962.3","complement(97268..97324)","0","0","0","57","0","0"
"IGR32_Rodriguez_Rv0088-Rv0089","NC_000962.3","97558..97661","92","18.4145259192","0","104","92","92"
"IGR33_Rodriguez_Rv0088-Rv0089","NC_000962.3","97683..97783","200","41.22063486","0","101","200","200"
"Rv0089","NC_000962.3","97758..98351","378","13.2468131118","0","594","378","378"
"Miotto_candidate_915","NC_000962.3","complement(97771..97818)","0","0","0","48","0","0"
"IGR34_Rodriguez_Rv0089-Rv0090","NC_000962.3","98420..98517","3","0.6372373654","0","98","3","3"
"Rv0090","NC_000962.3","98480..99250","104","2.8079218455","0","771","104","104"
"mtn","NC_000962.3","99684..100451","331","8.9716604427","0","768","331","331"
"Miotto_candidate_916","NC_000962.3","complement(99719..99756)","0","0","0","38","0","0"
"ctpA","NC_000962.3","100583..102868","1297","11.810541349","0","2286","1297","1297"
"Rv0093c","NC_000962.3","complement(102815..103663)","659","16.1578576893","0","849","659","659"
"Rv0094c","NC_000962.3","complement(103710..104663)","38","0.8291656006","0","954","0","38"
"Rv0095c","NC_000962.3","complement(104805..105215)","71","3.5960239973","0","411","71","71"
"PPE1","NC_000962.3","105324..106715","243","3.6339010107","0","1392","243","243"
"Rv0097","NC_000962.3","106734..107603","345","8.254787481","0","870","345","345"
"fcoT","NC_000962.3","107600..108151","144","5.4303705924","0","552","144","144"
"fadD10","NC_000962.3","108156..109778","808","10.3633196847","0","1623","808","808"
"Rv0100","NC_000962.3","109783..110019","61","5.3578128982","0","237","61","61"
"nrp","NC_000962.3","110001..117539","1815","5.0115139139","0","7539","1815","1815"
"Miotto_candidate_917","NC_000962.3","complement(110154..110205)","0","0","0","52","0","0"
"Miotto_candidate_918","NC_000962.3","complement(110254..110300)","0","0","0","47","0","0"
"Miotto_candidate_919","NC_000962.3","complement(110447..110563)","4","0.7116724993","0","117","4","4"
"Rv0102","NC_000962.3","117714..119699","3103","32.5243469965","0","1986","3103","3103"
"IGR35_Rodriguez_Rv0102-Rv0103c","NC_000962.3","119705..119814","29","5.487965432","0","110","29","29"
"ctpB","NC_000962.3","complement(119915..122173)","2421","22.3092316436","0","2259","2421","2421"
"Rv0104","NC_000962.3","122317..123831","165","2.2671349173","0","1515","165","165"
"rpmB1","NC_000962.3","complement(123980..124264)","1","0.0730400723","0","285","1","1"
"Rv0106","NC_000962.3","124374..125570","152","2.6433549974","0","1197","152","152"
"ctpI","NC_000962.3","complement(125643..130541)","2835","12.046244624","0","4899","2835","2835"
"IGR36_Rodriguez_Rv0107c-Rv0108c","NC_000962.3","complement(130472..130618)","81","11.4702725779","0","147","81","81"
"Rv0108c","NC_000962.3","complement(130895..131104)","2566","254.356834622","0","210","2566","2566"
"PE_PGRS1","NC_000962.3","131382..132872","203","2.8341605518","0","1491","203","203"
"Rv0110","NC_000962.3","133020..133769","131","3.6359347989","0","750","131","131"
"IGR37_Rodriguez_Rv0110-Rv0111","NC_000962.3","133845..133941","7","1.5022159199","0","97","7","7"
"Rv0111","NC_000962.3","133950..136007","203","2.0533203997","0","2058","203","203"
"gca","NC_000962.3","136289..137245","396","8.6136912845","0","957","396","396"
"IGR38_Rodriguez_Rv0112-Rv0113","NC_000962.3","137254..137306","0","0","0","53","0","0"
"gmhA","NC_000962.3","137319..137909","287","10.1088201581","0","591","287","287"
"Miotto_candidate_920","NC_000962.3","complement(137589..137696)","0","0","0","108","0","0"
"gmhB","NC_000962.3","137941..138513","131","4.7590769619","0","573","131","131"
"hddA","NC_000962.3","138513..139673","215","3.8548927045","0","1161","215","215"
"IGR39_Rodriguez_Rv0115-Rv0116c","NC_000962.3","139668..139755","2","0.4731004683","0","88","2","2"
"IGR40_Rodriguez_Rv0115-Rv0116c","NC_000962.3","complement(139726..139902)","14","1.646496545","0","177","14","14"
"IGR41_Rodriguez_Rv0115-Rv0116c","NC_000962.3","139837..139937","9","1.8549285687","0","101","9","9"
"Rv0115a","NC_000962.3","139956..140144","58","6.3881079103","0","189","58","58"
"ldtA","NC_000962.3","complement(140267..141022)","3652","100.5576296917","0","756","3652","3652"
"oxyS","NC_000962.3","141200..142144","291","6.4101358686","0","945","291","291"
"oxcA","NC_000962.3","complement(142128..143876)","1120","13.3301264018","0","1749","1120","1120"
"fadD7","NC_000962.3","144049..145626","590","7.7830723425","0","1578","590","590"
"fusA2","NC_000962.3","complement(145627..147771)","2186","21.2143102289","0","2145","2186","2186"
"Rv0121c","NC_000962.3","complement(147908..148342)","1059","50.6772170574","0","435","1059","1059"
"Rv0122","NC_000962.3","148491..148859","303","17.0931583824","0","369","303","303"
"Rv0123","NC_000962.3","148856..149224","544","30.6887067987","0","369","544","544"
"IGR43_Rodriguez_Rv0123-Rv0124","NC_000962.3","149189..149289","29","5.9769920547","0","101","29","29"
"Miotto_candidate_921","NC_000962.3","complement(149463..149495)","0","0","0","33","0","0"
"PE_PGRS2","NC_000962.3","149533..150996","514","7.308497398","0","1464","514","514"
"Miotto_candidate_16","NC_000962.3","151110..151140","0","0","0","31","0","0"
"pepA","NC_000962.3","151148..152215","3998","77.9251400524","0","1068","3965","3998"
"Miotto_candidate_922","NC_000962.3","complement(151321..151364)","0","0","0","44","0","0"
"Miotto_candidate_923","NC_000962.3","complement(151399..151431)","0","0","0","33","0","0"
"IGR44_Rodriguez_Rv0125-Rv0126","NC_000962.3","152059..152425","459","26.0347058784","0","367","452","459"
"treS","NC_000962.3","152324..154129","1637","18.868483128","0","1806","1637","1637"
"mak","NC_000962.3","154232..155599","1555","23.6619400875","0","1368","1555","1555"
"Rv0128","NC_000962.3","155667..156446","438","11.6892208009","0","780","438","438"
"Miotto_candidate_924","NC_000962.3","complement(155800..155851)","0","0","0","52","0","0"
"IGR45_Rodriguez_Rv0128-Rv0129c","NC_000962.3","156428..156538","12","2.2504238491","0","111","12","12"
"Miotto_candidate_925","NC_000962.3","complement(156522..156568)","0","0","0","47","0","0"
"fbpC","NC_000962.3","complement(156578..157600)","498","10.1335068044","0","1023","498","498"
"htdZ","NC_000962.3","157847..158302","126","5.7519056933","0","456","126","126"
"fadE1","NC_000962.3","complement(158315..159658)","848","13.1341701432","0","1344","848","848"
"fgd2","NC_000962.3","complement(159700..160782)","1611","30.9651464391","0","1083","1611","1611"
"Rv0133","NC_000962.3","160869..161474","1081","37.132921903","0","606","1081","1081"
"ephF","NC_000962.3","161771..162673","1995","45.9897664514","0","903","1995","1995"
"Rv0135c","NC_000962.3","complement(162644..163249)","5042","173.1953674701","0","606","5042","5042"
"cyp138","NC_000962.3","163366..164691","5710","89.6393375947","0","1326","5710","5710"
"msrA","NC_000962.3","complement(164712..165260)","2338","88.649893211","0","549","2338","2338"
"Rv0138","NC_000962.3","165323..165826","174","7.1866213991","0","504","174","174"
"Rv0139","NC_000962.3","165827..166849","574","11.6799857545","0","1023","574","574"
"Rv0140","NC_000962.3","166910..167290","4298","234.8267080243","0","381","4298","4298"
"Rv0141c","NC_000962.3","complement(167271..167681)","1072","54.2948975372","0","411","1072","1072"
"Miotto_candidate_17","NC_000962.3","167440..167481","0","0","0","42","0","0"
"Miotto_candidate_18","NC_000962.3","167558..167658","7","1.4427222201","0","101","7","7"
"Rv0142","NC_000962.3","167711..168637","2258","50.7049382141","0","927","2258","2258"
"Rv0143c","NC_000962.3","complement(168704..170182)","2598","36.5659639824","0","1479","2598","2598"
"Rv0144","NC_000962.3","170284..171126","2066","51.0162811014","0","843","2066","2066"
"Miotto_candidate_926","NC_000962.3","complement(170705..170736)","0","0","0","32","0","0"
"IGR46_Rodriguez_Rv0144-Rv0145","NC_000962.3","171133..171234","75","15.3061916208","0","102","75","75"
"Rv0145","NC_000962.3","171215..172168","12592","274.7592958588","0","954","12592","12592"
"Rv0146","NC_000962.3","172211..173143","3507","78.245645294","0","933","3507","3507"
"Rv0147","NC_000962.3","173238..174758","7365","100.7974607171","0","1521","7365","7365"
"Rv0148","NC_000962.3","174833..175693","3143","75.9883971653","0","861","3143","3143"
"Rv0149","NC_000962.3","175700..176668","2431","52.2236516915","0","969","2431","2431"
"Rv0150c","NC_000962.3","complement(176665..176952)","18","1.3010262878","0","288","18","18"
"IGR47_Rodriguez_Rv0150c-Rv0151c","NC_000962.3","177002..177223","125","11.7209575475","0","222","125","125"
"IGR48_Rodriguez_Rv0150c-Rv0151c","NC_000962.3","complement(177348..177445)","5","1.0620622757","0","98","5","5"
"PE1","NC_000962.3","complement(177543..179309)","323","3.8051521535","0","1767","323","323"
"PE2","NC_000962.3","complement(179319..180896)","211","2.7834377361","0","1578","211","211"
"IGR49_Rodriguez_Rv0152c-Rv0153c","NC_000962.3","complement(181064..181241)","159","18.5944431241","0","178","159","159"
"ptbB","NC_000962.3","complement(181155..181985)","861","21.567915933","0","831","861","861"
"fadE2","NC_000962.3","complement(181987..183198)","2256","38.7473967684","0","1212","2256","2256"
"pntAa","NC_000962.3","183622..184722","233","4.4052915539","0","1101","233","233"
"pntAb","NC_000962.3","184723..185055","68","4.2508006039","0","333","68","68"
"pntB","NC_000962.3","185052..186479","933","13.6006445545","0","1428","933","933"
"Miotto_candidate_927","NC_000962.3","complement(185055..185087)","0","0","0","33","0","0"
"Rv0157A","NC_000962.3","complement(186495..186623)","449","72.4540531111","0","129","449","449"
"Rv0158","NC_000962.3","186785..187429","528","17.0404187272","0","645","528","528"
"PE3","NC_000962.3","complement(187433..188839)","87","1.2871560715","0","1407","87","87"
"PE4","NC_000962.3","complement(188931..190439)","140","1.9312782535","0","1509","140","140"
"Rv0161","NC_000962.3","190607..191956","226","3.4848230049","0","1350","226","226"
"adhE1","NC_000962.3","complement(191984..193135)","334","6.0353163905","0","1152","334","334"
"Rv0163","NC_000962.3","193117..193572","129","5.8888558288","0","456","129","129"
"TB18.5","NC_000962.3","193626..194111","536","22.9580276624","0","486","536","536"
"mce1R","NC_000962.3","complement(194144..194815)","697","21.5908410137","0","672","697","697"
"fadD5","NC_000962.3","194993..196657","1198","14.9778209513","0","1665","1198","1198"
"IGR50_Rodriguez_Rv0166-Rv0167","NC_000962.3","196556..196973","681","33.9138335682","0","418","679","681"
"Miotto_candidate_928","NC_000962.3","complement(196557..196643)","0","0","0","87","0","0"
"Miotto_candidate_929","NC_000962.3","complement(196709..196776)","0","0","0","68","0","0"
"Miotto_candidate_930","NC_000962.3","complement(196827..196944)","0","0","0","118","0","0"
"yrbE1A","NC_000962.3","196861..197658","676","17.6339603114","0","798","676","676"
"Miotto_candidate_931","NC_000962.3","complement(196985..197017)","0","0","0","33","0","0"
"yrbE1B","NC_000962.3","197660..198529","508","12.1548754793","0","870","508","508"
"mce1A","NC_000962.3","198534..199898","707","10.7818383643","0","1365","707","707"
"Miotto_candidate_932","NC_000962.3","complement(199402..199508)","0","0","0","107","0","0"
"mce1B","NC_000962.3","199895..200935","549","10.9781123072","0","1041","549","549"
"mce1C","NC_000962.3","200932..202479","1207","16.2308912593","0","1548","1207","1207"
"Miotto_candidate_933","NC_000962.3","complement(200964..201008)","0","0","0","45","0","0"
"mce1D","NC_000962.3","202476..204068","1289","16.8439210037","0","1593","1289","1289"
"Miotto_candidate_934","NC_000962.3","complement(202609..202648)","0","0","0","40","0","0"
"Miotto_candidate_935","NC_000962.3","complement(202732..202825)","0","0","0","94","0","0"
"lprK","NC_000962.3","204065..205237","500","8.8731545628","0","1173","500","500"
"mce1F","NC_000962.3","205231..206778","1845","24.8102687435","0","1548","1845","1845"
"Miotto_candidate_936","NC_000962.3","complement(205275..205351)","0","0","0","77","0","0"
"Miotto_candidate_937","NC_000962.3","complement(206462..206493)","0","0","0","32","0","0"
"Rv0175","NC_000962.3","206814..207455","2439","79.0829436976","0","642","2439","2439"
"Rv0176","NC_000962.3","207452..208420","948","20.365290746","0","969","948","948"
"Rv0177","NC_000962.3","208417..208971","1362","51.0846213749","0","555","1362","1362"
"Miotto_candidate_938","NC_000962.3","complement(208576..208664)","0","0","0","89","0","0"
"Rv0178","NC_000962.3","208938..209672","1637","46.3625585432","0","735","1637","1637"
"lprO","NC_000962.3","complement(209703..210812)","1067","20.010018725","0","1110","1067","1067"
"Miotto_candidate_20","NC_000962.3","210073..210123","0","0","0","51","0","0"
"Rv0180c","NC_000962.3","complement(210892..212250)","1355","20.7551507865","0","1359","1355","1355"
"Miotto_candidate_21","NC_000962.3","211325..211485","32","4.1374252133","0","161","32","32"
"Rv0181c","NC_000962.3","complement(212277..213011)","1240","35.1188592508","0","735","1240","1240"
"sigG","NC_000962.3","complement(213028..214140)","3886","72.6797937721","0","1113","3886","3886"
"Rv0183","NC_000962.3","214088..214927","393","9.7391110684","0","840","393","393"
"Miotto_candidate_939","NC_000962.3","complement(214453..214483)","0","0","0","31","0","0"
"Rv0184","NC_000962.3","214969..215718","477","13.2392435043","0","750","477","477"
"Rv0185","NC_000962.3","215715..216224","290","11.8367881868","0","510","290","290"
"bglS","NC_000962.3","216269..218344","1551","15.5521523879","0","2076","1551","1551"
"Miotto_candidate_940","NC_000962.3","complement(218035..218065)","0","0","0","31","0","0"
"Miotto_candidate_941","NC_000962.3","complement(218110..218292)","2849","324.0764060199","0","183","2849","2849"
"Miotto_candidate_942","NC_000962.3","complement(218355..218413)","64","22.5805240453","0","59","64","64"
"Miotto_candidate_22","NC_000962.3","218357..218409","0","0","0","53","0","0"
"mymT","NC_000962.3","complement(218390..218551)","46267","5945.1440253022","0","162","46267","46267"
"Miotto_candidate_943","NC_000962.3","complement(218503..218610)","859","165.5676416582","0","108","859","859"
"Rv0187","NC_000962.3","218705..219367","1129","35.447569928","0","663","1129","1129"
"Miotto_candidate_944","NC_000962.3","complement(219424..219601)","41","4.79479351","0","178","41","41"
"Miotto_candidate_23","NC_000962.3","219429..219486","0","0","0","58","0","0"
"Rv0188","NC_000962.3","219486..219917","34787","1676.2519063927","0","432","34787","34787"
"Miotto_candidate_945","NC_000962.3","complement(219653..219782)","3","0.480378937","0","130","3","3"
"Miotto_candidate_946","NC_000962.3","complement(219830..219996)","152","18.9466822267","0","167","152","152"
"IGR51_Rodriguez_Rv0188-Rv0189c","NC_000962.3","219908..219973","0","0","0","66","0","0"
"ilvD","NC_000962.3","complement(219996..221723)","1826","21.996981495","0","1728","1826","1826"
"IGR52_Rodriguez_Rv0189c-Rv0190","NC_000962.3","221729..221783","0","0","0","55","0","0"
"Rv0190","NC_000962.3","221871..222161","7378","527.778526524","0","291","7378","7378"
"IGR53_Rodriguez_Rv0190-Rv0191","NC_000962.3","222101..222371","2606","200.175616586","0","271","2606","2606"
