"Name","Chromosome","Region","Expression value","TPM","RPKM","Gene length","Unique gene reads","Total gene reads"
"hycE","NC_000962.3","95414..96892","1322","28.9621082007","0","1479","1322","1322"
"Rv0088","NC_000962.3","96927..97601","2513","120.6300773538","0","675","2513","2513"
"Miotto_candidate_913","NC_000962.3","complement(97097..97143)","0","0","0","47","0","0"
"Miotto_candidate_914","NC_000962.3","complement(97268..97324)","0","0","0","57","0","0"
"IGR32_Rodriguez_Rv0088-Rv0089","NC_000962.3","97558..97661","178","55.4566400642","0","104","178","178"
"IGR33_Rodriguez_Rv0088-Rv0089","NC_000962.3","97683..97783","266","85.3349922536","0","101","266","266"
"Rv0089","NC_000962.3","97758..98351","397","21.6556364674","0","594","397","397"
"Miotto_candidate_915","NC_000962.3","complement(97771..97818)","0","0","0","48","0","0"
"IGR34_Rodriguez_Rv0089-Rv0090","NC_000962.3","98420..98517","7","2.3144023141","0","98","7","7"
"Rv0090","NC_000962.3","98480..99250","83","3.4881134747","0","771","83","83"
"mtn","NC_000962.3","99684..100451","237","9.9989412475","0","768","237","237"
"Miotto_candidate_916","NC_000962.3","complement(99719..99756)","0","0","0","38","0","0"
"ctpA","NC_000962.3","100583..102868","2605","36.9231200325","0","2286","2605","2605"
"Rv0093c","NC_000962.3","complement(102815..103663)","821","31.3330273239","0","849","821","821"
"Rv0094c","NC_000962.3","complement(103710..104663)","41","1.3925229856","0","954","0","41"
"Rv0095c","NC_000962.3","complement(104805..105215)","72","5.6761983761","0","411","72","72"
"PPE1","NC_000962.3","105324..106715","458","10.6608819237","0","1392","458","458"
"Rv0097","NC_000962.3","106734..107603","1005","37.4294719069","0","870","1005","1005"
"fcoT","NC_000962.3","107600..108151","576","33.810399023","0","552","576","576"
"fadD10","NC_000962.3","108156..109778","2931","58.5145930719","0","1623","2931","2931"
"Rv0100","NC_000962.3","109783..110019","372","50.858258446","0","237","372","372"
"nrp","NC_000962.3","110001..117539","14637","62.9079046817","0","7539","14637","14637"
"Miotto_candidate_917","NC_000962.3","complement(110154..110205)","0","0","0","52","0","0"
"Miotto_candidate_918","NC_000962.3","complement(110254..110300)","0","0","0","47","0","0"
"Miotto_candidate_919","NC_000962.3","complement(110447..110563)","22","6.0926146388","0","117","22","22"
"Rv0102","NC_000962.3","117714..119699","5444","88.8189762183","0","1986","5444","5444"
"IGR35_Rodriguez_Rv0102-Rv0103c","NC_000962.3","119705..119814","51","15.0225750205","0","110","51","51"
"ctpB","NC_000962.3","complement(119915..122173)","6888","98.7970092744","0","2259","6888","6888"
"Rv0104","NC_000962.3","122317..123831","431","9.2178901407","0","1515","431","431"
"rpmB1","NC_000962.3","complement(123980..124264)","17","1.93272895","0","285","17","17"
"Rv0106","NC_000962.3","124374..125570","2289","61.9610163382","0","1197","2289","2289"
"ctpI","NC_000962.3","complement(125643..130541)","7404","48.9695215897","0","4899","7404","7404"
"IGR36_Rodriguez_Rv0107c-Rv0108c","NC_000962.3","complement(130472..130618)","115","25.3482158208","0","147","115","115"
"Rv0108c","NC_000962.3","complement(130895..131104)","2992","461.6461149142","0","210","2992","2992"
"PE_PGRS1","NC_000962.3","131382..132872","375","8.1493039228","0","1491","375","375"
"Rv0110","NC_000962.3","133020..133769","438","18.9225533199","0","750","438","438"
"IGR37_Rodriguez_Rv0110-Rv0111","NC_000962.3","133845..133941","27","9.0190110796","0","97","27","27"
"Rv0111","NC_000962.3","133950..136007","1200","18.8930801149","0","2058","1200","1200"
"gca","NC_000962.3","136289..137245","832","28.1694442574","0","957","832","832"
"IGR38_Rodriguez_Rv0112-Rv0113","NC_000962.3","137254..137306","0","0","0","53","0","0"
"gmhA","NC_000962.3","137319..137909","649","35.5814880299","0","591","649","649"
"Miotto_candidate_920","NC_000962.3","complement(137589..137696)","0","0","0","108","0","0"
"gmhB","NC_000962.3","137941..138513","327","18.4909839334","0","573","327","327"
"hddA","NC_000962.3","138513..139673","707","19.7312266191","0","1161","707","707"
"IGR39_Rodriguez_Rv0115-Rv0116c","NC_000962.3","139668..139755","4","1.4728014726","0","88","4","4"
"IGR40_Rodriguez_Rv0115-Rv0116c","NC_000962.3","complement(139726..139902)","2","0.3661201401","0","177","2","2"
"IGR41_Rodriguez_Rv0115-Rv0116c","NC_000962.3","139837..139937","21","6.7369730727","0","101","21","21"
"Rv0115a","NC_000962.3","139956..140144","45","7.7146743803","0","189","45","45"
"ldtA","NC_000962.3","complement(140267..141022)","955","40.9306335174","0","756","955","955"
"oxyS","NC_000962.3","141200..142144","379","12.9949404005","0","945","379","379"
"oxcA","NC_000962.3","complement(142128..143876)","3411","63.1915197864","0","1749","3411","3411"
"fadD7","NC_000962.3","144049..145626","1008","20.6976206947","0","1578","1008","1008"
"fusA2","NC_000962.3","complement(145627..147771)","2829","42.7339011894","0","2145","2829","2829"
"Rv0121c","NC_000962.3","complement(147908..148342)","510","37.9881207414","0","435","510","510"
"Rv0122","NC_000962.3","148491..148859","81","7.112553453","0","369","81","81"
"Rv0123","NC_000962.3","148856..149224","100","8.7809301889","0","369","100","100"
"IGR43_Rodriguez_Rv0123-Rv0124","NC_000962.3","149189..149289","2","0.6416164831","0","101","2","2"
"Miotto_candidate_921","NC_000962.3","complement(149463..149495)","0","0","0","33","0","0"
"PE_PGRS2","NC_000962.3","149533..150996","226","5.00189134","0","1464","226","226"
"Miotto_candidate_16","NC_000962.3","151110..151140","0","0","0","31","0","0"
"pepA","NC_000962.3","151148..152215","5105","154.8785893136","0","1068","5079","5105"
"Miotto_candidate_922","NC_000962.3","complement(151321..151364)","0","0","0","44","0","0"
"Miotto_candidate_923","NC_000962.3","complement(151399..151431)","0","0","0","33","0","0"
"IGR44_Rodriguez_Rv0125-Rv0126","NC_000962.3","152059..152425","684","60.3888734594","0","367","671","684"
"treS","NC_000962.3","152324..154129","3479","62.4170980672","0","1806","3479","3479"
"mak","NC_000962.3","154232..155599","2997","70.9851551857","0","1368","2997","2997"
"Rv0128","NC_000962.3","155667..156446","591","24.5504676239","0","780","591","591"
"Miotto_candidate_924","NC_000962.3","complement(155800..155851)","0","0","0","52","0","0"
"IGR45_Rodriguez_Rv0128-Rv0129c","NC_000962.3","156428..156538","18","5.2543187671","0","111","18","18"
"Miotto_candidate_925","NC_000962.3","complement(156522..156568)","0","0","0","47","0","0"
"fbpC","NC_000962.3","complement(156578..157600)","10352","327.8804482642","0","1023","10352","10352"
"htdZ","NC_000962.3","157847..158302","256","18.1903901176","0","456","256","256"
"fadE1","NC_000962.3","complement(158315..159658)","825","19.8893948866","0","1344","825","825"
"fgd2","NC_000962.3","complement(159700..160782)","394","11.7878514907","0","1083","394","394"
"Rv0133","NC_000962.3","160869..161474","2274","121.5863235493","0","606","2274","2274"
"ephF","NC_000962.3","161771..162673","5108","183.2863103922","0","903","5108","5108"
"Rv0135c","NC_000962.3","complement(162644..163249)","1383","73.9462996784","0","606","1383","1383"
"cyp138","NC_000962.3","163366..164691","701","17.1293697665","0","1326","701","701"
"msrA","NC_000962.3","complement(164712..165260)","844","49.8123456159","0","549","844","844"
"Rv0138","NC_000962.3","165323..165826","497","31.9516097249","0","504","497","497"
"Rv0139","NC_000962.3","165827..166849","2061","65.2783620433","0","1023","2061","2061"
"Rv0140","NC_000962.3","166910..167290","352","29.9353664141","0","381","352","352"
"Rv0141c","NC_000962.3","complement(167271..167681)","1043","82.2260403653","0","411","1043","1043"
"Miotto_candidate_17","NC_000962.3","167440..167481","0","0","0","42","0","0"
"Miotto_candidate_18","NC_000962.3","167558..167658","0","0","0","101","0","0"
"Rv0142","NC_000962.3","167711..168637","1106","38.658258286","0","927","1106","1106"
"Rv0143c","NC_000962.3","complement(168704..170182)","3259","71.3975118202","0","1479","3259","3259"
"Rv0144","NC_000962.3","170284..171126","6241","239.8797008185","0","843","6241","6241"
"Miotto_candidate_926","NC_000962.3","complement(170705..170736)","0","0","0","32","0","0"
"IGR46_Rodriguez_Rv0144-Rv0145","NC_000962.3","171133..171234","367","116.5823440169","0","102","367","367"
"Rv0145","NC_000962.3","171215..172168","15472","525.4906252068","0","954","15472","15472"
"Rv0146","NC_000962.3","172211..173143","1938","67.3037123103","0","933","1938","1938"
"Rv0147","NC_000962.3","173238..174758","6988","148.8643045303","0","1521","6988","6988"
"Rv0148","NC_000962.3","174833..175693","3618","136.1545946719","0","861","3618","3618"
"Rv0149","NC_000962.3","175700..176668","3464","115.8299841315","0","969","3464","3464"
"Rv0150c","NC_000962.3","complement(176665..176952)","12","1.3500680165","0","288","12","12"
"IGR47_Rodriguez_Rv0150c-Rv0151c","NC_000962.3","177002..177223","21","3.0650192808","0","222","21","21"
"IGR48_Rodriguez_Rv0150c-Rv0151c","NC_000962.3","complement(177348..177445)","9","2.9756601181","0","98","9","9"
"PE1","NC_000962.3","complement(177543..179309)","462","8.4717341072","0","1767","462","462"
"PE2","NC_000962.3","complement(179319..180896)","318","6.5296065287","0","1578","318","318"
"IGR49_Rodriguez_Rv0152c-Rv0153c","NC_000962.3","complement(181064..181241)","183","33.3117906105","0","178","183","183"
"ptbB","NC_000962.3","complement(181155..181985)","1157","45.1127420979","0","831","1157","1157"
"fadE2","NC_000962.3","complement(181987..183198)","2369","63.332893687","0","1212","2369","2369"
"pntAa","NC_000962.3","183622..184722","1384","40.7301173819","0","1101","1384","1384"
"pntAb","NC_000962.3","184723..185055","610","59.3543416282","0","333","610","610"
"pntB","NC_000962.3","185052..186479","5778","131.1040840267","0","1428","5778","5778"
"Miotto_candidate_927","NC_000962.3","complement(185055..185087)","0","0","0","33","0","0"
"Rv0157A","NC_000962.3","complement(186495..186623)","284","71.3338263625","0","129","284","284"
"Rv0158","NC_000962.3","186785..187429","1210","60.7844576751","0","645","1210","1210"
"PE3","NC_000962.3","complement(187433..188839)","212","4.8821222944","0","1407","212","212"
"PE4","NC_000962.3","complement(188931..190439)","74","1.5889468505","0","1509","74","74"
"Rv0161","NC_000962.3","190607..191956","481","11.544581617","0","1350","481","481"
"adhE1","NC_000962.3","complement(191984..193135)","826","23.2324204514","0","1152","826","826"
"Rv0163","NC_000962.3","193117..193572","362","25.7223485257","0","456","362","362"
"TB18.5","NC_000962.3","193626..194111","2423","161.5414718067","0","486","2423","2423"
"mce1R","NC_000962.3","complement(194144..194815)","1821","87.8026377902","0","672","1821","1821"
"fadD5","NC_000962.3","194993..196657","7648","148.8334441878","0","1665","7647","7648"
"IGR50_Rodriguez_Rv0166-Rv0167","NC_000962.3","196556..196973","5687","440.8327355073","0","418","5679","5687"
"Miotto_candidate_928","NC_000962.3","complement(196557..196643)","0","0","0","87","0","0"
"Miotto_candidate_929","NC_000962.3","complement(196709..196776)","0","0","0","68","0","0"
"Miotto_candidate_930","NC_000962.3","complement(196827..196944)","1","0.2745901051","0","118","1","1"
"yrbE1A","NC_000962.3","196861..197658","5461","221.7359831082","0","798","5458","5461"
"Miotto_candidate_931","NC_000962.3","complement(196985..197017)","0","0","0","33","0","0"
"yrbE1B","NC_000962.3","197660..198529","3267","121.6737161393","0","870","3267","3267"
"mce1A","NC_000962.3","198534..199898","7054","167.4440402409","0","1365","7054","7054"
"Miotto_candidate_932","NC_000962.3","complement(199402..199508)","1","0.3028189944","0","107","1","1"
"mce1B","NC_000962.3","199895..200935","4771","148.499700448","0","1041","4771","4771"
"mce1C","NC_000962.3","200932..202479","16800","351.6456229138","0","1548","16800","16800"
"Miotto_candidate_933","NC_000962.3","complement(200964..201008)","0","0","0","45","0","0"
"mce1D","NC_000962.3","202476..204068","12983","264.0743210364","0","1593","12983","12983"
"Miotto_candidate_934","NC_000962.3","complement(202609..202648)","0","0","0","40","0","0"
"Miotto_candidate_935","NC_000962.3","complement(202732..202825)","0","0","0","94","0","0"
"lprK","NC_000962.3","204065..205237","8458","233.634276909","0","1173","8458","8458"
"mce1F","NC_000962.3","205231..206778","20055","419.7769623533","0","1548","20055","20055"
"Miotto_candidate_936","NC_000962.3","complement(205275..205351)","0","0","0","77","0","0"
"Miotto_candidate_937","NC_000962.3","complement(206462..206493)","0","0","0","32","0","0"
"Rv0175","NC_000962.3","206814..207455","9975","503.4365781318","0","642","9975","9975"
"Rv0176","NC_000962.3","207452..208420","4983","166.6226359489","0","969","4983","4983"
"Rv0177","NC_000962.3","208417..208971","4501","262.7743196741","0","555","4501","4501"
"Miotto_candidate_938","NC_000962.3","complement(208576..208664)","0","0","0","89","0","0"
"Rv0178","NC_000962.3","208938..209672","5158","227.3845168762","0","735","5158","5158"
"lprO","NC_000962.3","complement(209703..210812)","5110","149.1642716657","0","1110","5110","5110"
"Miotto_candidate_20","NC_000962.3","210073..210123","0","0","0","51","0","0"
"Rv0180c","NC_000962.3","complement(210892..212250)","1655","39.4589415873","0","1359","1655","1655"
"Miotto_candidate_21","NC_000962.3","211325..211485","32","6.4400760044","0","161","32","32"
"Rv0181c","NC_000962.3","complement(212277..213011)","1105","48.7126582296","0","735","1105","1105"
"sigG","NC_000962.3","complement(213028..214140)","2970","86.4625770164","0","1113","2970","2970"
"Rv0183","NC_000962.3","214088..214927","2760","106.4625064475","0","840","2760","2760"
"Miotto_candidate_939","NC_000962.3","complement(214453..214483)","0","0","0","31","0","0"
"Rv0184","NC_000962.3","214969..215718","2098","90.6381663587","0","750","2098","2098"
"Rv0185","NC_000962.3","215715..216224","1334","84.7525051327","0","510","1334","1334"
"bglS","NC_000962.3","216269..218344","6169","96.2840415498","0","2076","6169","6169"
"Miotto_candidate_940","NC_000962.3","complement(218035..218065)","0","0","0","31","0","0"
"Miotto_candidate_941","NC_000962.3","complement(218110..218292)","69","12.2170089366","0","183","69","69"
"Miotto_candidate_942","NC_000962.3","complement(218355..218413)","4","2.1967208405","0","59","4","4"
"Miotto_candidate_22","NC_000962.3","218357..218409","0","0","0","53","0","0"
"mymT","NC_000962.3","complement(218390..218551)","1572","314.4158402974","0","162","1572","1572"
"Miotto_candidate_943","NC_000962.3","complement(218503..218610)","31","9.3004685584","0","108","31","31"
"Rv0187","NC_000962.3","218705..219367","1014","49.5554377837","0","663","1014","1014"
"Miotto_candidate_944","NC_000962.3","complement(219424..219601)","42","7.6453289926","0","178","42","42"
"Miotto_candidate_23","NC_000962.3","219429..219486","0","0","0","58","0","0"
"Rv0188","NC_000962.3","219486..219917","1685","126.3813671043","0","432","1685","1685"
"Miotto_candidate_945","NC_000962.3","complement(219653..219782)","0","0","0","130","0","0"
"Miotto_candidate_946","NC_000962.3","complement(219830..219996)","78","15.1336965687","0","167","78","78"
"IGR51_Rodriguez_Rv0188-Rv0189c","NC_000962.3","219908..219973","0","0","0","66","0","0"
"ilvD","NC_000962.3","complement(219996..221723)","7058","132.3441675107","0","1728","7058","7058"
